Question,Answer
Q: Wa -- it sounds like it was very much then a military town. Were all Polish cities,"A: No, Lvov was a third size city in Poland. It was a very well known, years, yearsbefore, centuries before, as a commercial crossroad from the Baltic to Black Sea."
Q: Yeah.,"A: And so there was a lot of influx of the Armenians, and the people from the eastwho were trading, going through. And then later on it developed quite a well-knowncultural center. And it was -- it had this specific atmosphere. Lvov was somehowunique in that sense that if you meet anywhere somebody from Lvov, you alwayshave something to talk about and you ask each other, where did you live, whatstreet? And was a very patriotic city, but toward the end of the first World War,after the Austrian empire fell through -- lost the war, Galicia, that was part of theAustrian empire was again, somehow, having problems with the minorities, andthere was a big minority of the Ukrainians, wanted to have Lvov as their city, andthere were strong battle in -- for several months in the -- with the arm -- Prussian The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.Interview with Maria Pawulska Rasiej degMay 8, 2013army. At that time a -- Russia entered already the war, already, after the revolutions,it was communist --"
Q: Right.,"A: -- army that wanted to take over. At that time also was the battle for -- theyentered also the eastern border of Poland and wanted supposedly, as Lenin said,they wanted to bring communism to Germany. And so, in that battle, most of theyoung people who were fighting for the independence were already at the front,being busy, so the students of Lvov, the students of universities -- there were acouple of polytechnic and university very well recognized. And the young children,like Boy Scouts, and -- and were helping out and it retained its independence fromthe Ukrainians. It became part afterwards --"
Q: Of Poland.,"A: --it became part of Polish, because [indecipherable] I can't re-recall how manymiles yet to the Russian border, because it, you know, was several hundreds ofmiles to the Russian border, so it was still well in -- well in Poland."
Q: But it was close to the Ukrainian border.,"A: Well, not -- at that time, Ukrainian border, there were couple of hundred miles."
"Q: Oh, still a few hundred miles.","A: Right, because Russia -- The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.9Interview with Maria Pawulska RasiejMay 8, 2013"
Q: Was part -- it was --,A: Ukraine was part of --
"Q: -- it was part of of Russia, yeah.",A: -- Russia at that time.
"Q: Yeah, yeah.","A: At that time Ukraine was still -- when the communists came, they madeUkraine --"
Q: Communist.,"A: -- park -- part of Russia, communistic part of Soviet --"
Q: I just was -- I had thought it was so close to the border. I didn't realize there was,"A: Mm-hm, right. I would say 200 - 300 miles."
Q: Yeah. Tell me a little bit about your mother. Her name again was?,A: Maria.
Q: Maria. And how -- what was her role? Was she -- does she also have a -- a -- an,"A: Before she got married, she was a teacher."
Q: Okay.,"A: Or also she worked in bank. And then when she got married, one of the thingsthat life of the officer was very often on the move. You spend few years here, fewyears there, and then we were born, so she really took care of us for rest of her life."
"Q: Was -- was your family from Lvov for generations, or had your parents moved","A: On my mother's side and my husband -- my father's side, there were members ofLvov community. I don't know exactly, looking past a hundred years -- more thanhundred years of my father's families -- progeny, and the relatives who were, but Iknow that they were quite well-known in the 19 century. And on my mother'sside, they were well-recognized as book editors and booksellers. That was on mymother's side, and also when the oil started at the lower part of Poland, close toUkrainian border, some of the -- the members of my mother's family were ownersof the -- of the --"
Q: Oil wells?,"A: -- oil wells, or participated in some kind of things."
Q: In the oil business probably. How would you describe your chi -- the home life,"A: I think that I'm -- I gained much from -- from them, from the teaching, or wi--they were very moral people."
Q: Were they religious?,"A: They were religious and they attended the church as we -- although, when Istarted going to the -- the primary school, it was a public school, but they were also-- sometime the -- the schools run by nuns, or the -- for the girls, or for boys, themonks. But I was in public school, but we had also gone through a -- learningreligion in school, and attended all -- part of our life was living also a religious life.And all our morals are based on that, and I think that -- that added to the strengthafterwards, that we, when difficulties started later in life, and the tragedy started,that the -- the base was that we had loving parents, and my mother would -- althoughI always felt that she preferred my brothers to me, she was very strict -- stricter withme. It's only when I was grown-up, much grown-up, she -- she told me that sheexpected more from me, and was stricter with me because the women have harderlife, and have much more to depend on the moral self-awareness than the boys. Sothere -- therefore, difference that I felt as a negative thing, was in the form of tryingto make me stronger."
Q: Do you think it worked?,"A: I think so.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.12Interview with Maria Pawulska RasiejMay 8, 2013"
Q: Yeah. Which -- which parent were you closer to?,"A: I was close to my mother because she was always around. But I was also -- Iknew that I was in -- in ma -- in the eyes of my father a little princess. I would --wouldn't do anything -- even he expected also a lot of me. Fortunately I was a goodstudent, so there was never this -- any conflicts like that. But I remember once shewa -- he was passing by my -- our bedroom, and a rug that was near my bed wascrooked. And I remember him telling me, you, with your artistic inclination, howcan you stand a crooked rug? And tha -- you know, that must have been so manyyears ago, but something like this happened. And I was very proud of my father, hehad been -- ha-had many friends, and was considered quite an -- outstanding as aperson."
Q: Was he an outgoing person?,"A: I would say he was more like home person, whenever he was coming. He wasnot too much into going out so much, but usually when he would come home, Iwould remember him reading newspapers, and staying home, and -- and also goingvisiting with the re -- other relatives. But he was also very much feeling responsiblefor his subordinates. So he was always on the lookout, or checking out with them.So I understand they had a great admiration for him, which proved later on in life,when they were looking for him.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.1Interview with Maria Pawulska Rasiej degMay 8, 2013"
Q: Would you describe your childhood? How would you describe your childhood?,"A: I would say, on -- like most other girls, I would say similar experiences in school.I was sometimes teacher's pet, so I suffered a little bit sometimes, because beingsomehow shown as a-- an example, makes you an enemy of some people. Butanyway, mostly a good, pleasant type of fa-family, my mother and father, and alsothe distant family, aunts and uncles visiting, everybody will -- even later on they,when as an adult, and some aunt, or some uncle from -- from Poland, when wevisited, they remembered me as a child. And I remembered how close they were toour family. So it was a, I would say, more -- mostly [indecipherable] except that wewere not rich, because the army people are not rich, so I knew that from time totime they might have had some problems, financial problems if something extrahappened. But I, fortunately, I don't remember any big sickness in my childhood ormy brothers"", except for scarlet fever and diphtheria. But at that time there was akind of -- every -- every child almost, had it, and you had to be in the hospital,because there was epidemic of scarlet fever, so that they would not allow childrento stay home. So I spent some six weeks or something like that in the -- in thehospital, but -- my brothers, too, at different times. But nothing really tragic.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.14Interview with Maria Pawulska RasiejMay 8, 2013"
"Q: How would you describe your parents"" relationships to one another?","A: It was -- from what I can say, and could feel, there was a great bond betweenthem. It was great respect for my father, and my -- my mother also had herhusband's respect. Th -- I couldn't remember angry voices, but if there were -- and Iam sure that it's impossible to live through life without any -- any littledisagreements or something, but I was not aware of any problem of any seriousconsequences."
Q: Did you have close friends at school?,"A: Yes, I had several friends and -- and -- and one, especially one whose parentswere also friends of my parents. He was a famous painter in -- in Poland, and hermother was not working, was also taking care. But Barah(ph) was the only child,so we were very often spending time, either at our house, or at her house."
Q: What was her last name?,A: Martuszuk(ph)
Q: Martuszuk(ph). How would -- you mentioned a little bit that your parents or,A: [indecipherable] the army --
Q: Yeah.,"A: -- people, you know, kind of difficult, and because the army -- Poland was then,you know, just rising from the ashes. And I think in Poland was starting to build theeconomy and industry. So it -- a regular situation with the army, it's -- wasn't thatthey were not very [indecipherable]. Maybe there were people who had somespecial assignments, or something like that, would get extra money for trouble, orsomething, a presentation or something. It's not that we're poor."
Q: No.,A: I didn't feel the poverty.
Q: Okay.,"A: But no -- from knowledge of how the situation was. As an adult I couldrecognize that we're middle class, well educated, and middle class very muchinterested in the social and cultural life. But not probably extensively or too oftenoutside of Poland."
Q: Did your family own a car?,"A: No, we did not own a car. The horses, the [indecipherable] or how you call thehorses were usually belonged to -- to the commander of the battalion, like my fatherwas. And so, we sometimes went on some excursion we went, but we also went --the car also belonged to the unit there."
Q: I see. So sometimes you had use of it.,"A: So sometimes we used it, the car."
Q: Did you have a radio at home?,A: Yes.
Q: Okay.,"A: But there that -- that time, was the radio when you -- you -- with the crystal, whenyou put the small crystal to here, to connect --"
Q: I don't even know what that ra -- kind of radio looked like.,A: Not just a-- a box with the microphone that you could hear --
Q: Okay.,"A: --I mean, behind the screen. And there was the classic things with the -- somescrew that you tried to correct --"
Q: The sound?,"A: -- the sound to get the connection, because that -- you probably only would havethe -- only the radio from Lvoy, all the -- in Poland, but you would have tomaneuver to get that thing working."
Q: The signal.,A: Signal.
"Q: Yeah, yeah. Tell me a little bit about Lvov as a city that you mentioned earlier,",A: Very much so.
"Q: Who wi - and how was it divided, if you would know? First of all, about how","A: In -- 350,000 before the war."
Q: Okay.,"A: And it had about 65 percent Poles, I would say about 20 percent Ukrainians, ormaybe less. I would say less, but they had quite a large Jewish section, Jewish -- the-- the Jews of Poland were the -- the assimi -- most of them were the assimilatedJews, or the Jews who called themselves Poles, and went with us to school. Andthere were also smal -- small sections in Lvov -- well, small, it's relative, wherethere were Orthodox places. They had very busy market, very well developed, andthey had several synagogues. And was kind of a very prou -- Lvov was proud of isthat they had Armenians, quite a lot of [indecipherable] maybe t -- five or morethousand Armenians, who are actually, they came to Lvov in the 16"" century, 17century, so you couldn't really differentiate that they were Armenians. They haddifferent names, but they had -- the cathedral was Armenian cathedral, or CatholicArmenian order, and there was also the Ukrainian cathedral, a very well recognized,very well-known [indecipherable] Saint George Cathedral, for the Ukrainians, butthey were not ort -- Russian orthodox, but they were Yoonyots(ph). That was the The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.18Interview with Maria Pawulska RasiejMay 8, 2013reun -- in the -- at the end of 16"" century there was a reunion of the orthodoxUkrainians with the Roman --"
Q: Catholic church.,"A: -- Catholic church, and they recognized the Pope. And so you actually could goto -- to the masses, except that they use the Ukrainian language and Ukrainianletters, which --"
Q: Rather than Latin.,A: Rather than Latin.
Q: Yeah.,"A: But that was different, and especially since lat -- in the Catholic church had Latin"
Q: Yes.,"A: --so for most of the people who did not know Latin, it was also boring."
Q: Yeah. Did you ha --,"A: And then I also about several -- quite a -- a lot, I don't know what percentage,German, especially Austrian German, because Galicia in the -- when Poland wasdivided, Poland uke -- Lithuanian Ukraine --"
Q: Right.,"A: -- and Poland, the commonwealth was divided between Russia, Prussia andAustria."
Q: Right.,"A: So if you know that situation, many of the Austrians came in and stayed, andvery often became Poles, even better Poles patriotically than -- than some peasantswho -- peasants or some workers who didn't have schooling or something, that asthe ch-change after the war happened, there were many -- and during the 19""century there's -- you probably know from history, there were several uprisingagainst Russia to free Poland --"
Q: Yes.,"A: -- and Lithuania from Russian tsars at that time. And I know the incidents ofpeople who -- was one professor that I read somewhere that small story, oneprofessor at the University of Lvov, they were talking about one of the uprising in --in Poland in the [indecipherable] what they said congress was a part of Russian --Russian part of Poland who stepped up the activities, and they said, where I --where are you sons, they asked the professor. He said, he -- they are doing thepatriotic duty. They went to defend Poland, to Russian part. Beca -- and he was ofAustrian -- Austrian parentage --"
"Q: Origin, yeah.","A: -- originally, because many, many of them -- as a matter of fact, my -- the motherof my girlfriend in Poland, her parents lived in Vienna, and sometimes she went tovisit her. So, there was some [indecipherable]"
"Q: Yeah, some influence.",A: -- many of these people became as Polish as --
"Q: As the next person, yeah.",A: Right.
"Q: In school, did you intermingled, or did your family know any Jewish people?",A: Yes.
Q: Okay.,"A: I sat with a Jewish girl. I didn't have much in common with some of the girlsfrom -- because where -- in our neighborhood, I think, were many small shopowners. And they somehow kept much to themselves, Jewish people. But we alsohave some doctors [indecipherable] and some very, very good students, too, and itwas like, I would say in the class of 35 or 40 children, there would be at least 15Jewish children. And when the lessons in religion, everybody was obliged to take --participate, and we had the priest come for the Catholic girls, the rabbi come, takethe to another room, or -- or we went out to another room. And also Ukraine, or[indecipherable] which is the Ukrainians how they called themselves before the -- The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.21Interview with Maria Pawulska RasiejMay 8, 2013all the nationalistic fights. But -- and then they -- and we had couple Protestants girlsand there was a church, a Protestant church of Habsburg den-denomination. So itwas an -- a--TI cannot remember how many -- how many, but I know that I sat --there were two -- two girls to each seat, and I was sitting with the -- with the girlwho was Jewish."
Q: Did your parents talk about politics at home? About what was going on in the,"A: I-I--I think we were well informed, but there were -- I had sometimes discussionwith my father, what I was like -- about medicine, or about something. I that -- whenmy father would come and have his late lunch, because at four o'clock it's neitherlunch nor supper. So I would sit and ask of -- my mother was very upset. Will youstop talking about all the medical things, or -- I don't know why it was of someinterest at one point for me. But we discussed probably because of school, andlearning and it wasn't somehow forced on us, any patriotic things, or you wereordered by school to march, or to -- ordered by -- you did some of the things, likecelebrate anniversaries and -- and ho -- hope that Poland is honorable witheverything, and somehow you knew that there was some bad things happened, youheard about some -- somebody murdering somebody, some kind of a trial ofsomeone, which later on, I understand years later proving that it was innocent The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.22Interview with Maria Pawulska RasiejMay 8, 2013person. But anyway, somehow the -- it was in the news, so you couldn't help evenoverhearing what they went to the -- to shop, or where they went in -- in thetramways, because the tramways were the way the communication was quite well-developed in -- in Lvov, and --"
Q: So -- okay. Did you want to finish the thought?,"A: Mm, no."
"Q: Okay. Did you -- were -- were Hitler's name or Stalin's name, were they well","A: No, there was definitely a well-known situation, and I remember during one ofmy last -- maybe not last -- in 1938, in vacation, I was in Warsaw with my aunt anduncle, the brother of my father. And I also lived with -- sometimes they had thehouse be -- residence outside of Warsaw. And I remember in ""38, at the time ofCzechoslovakia and anschluss, and the speeches of Hitler, and how we all felt,you know, all -- really with the goose pimples. And --"
Q: You fe -- you felt?,A: Goose pimples.
Q: Goose pimples.,"A: When we heard the voice of Hitler talking about his enemies, and how -- andthen also sometimes on the radio too, you heard the [indecipherable] repeating histhreats after Czechoslovakia and starting to repeat the threats against Poland,which some reporters translated it, of course. But also you heard the voices ofHitler, it still to my -- I think to my dying day, the wor -- hearing his voice raises thehair on my back of my head."
Q: Frightening.,"A: Frightening, and like if you hear evil, or f-- almost subconsciously because atthat time we didn't realize what will happen. But the hatred that was comingthrough was so difficult to -- even to understand, that -- that amount of threats, orthat amount of hatred, or that amount of -- and also, on the other hand, my fatherhad a very relaxed or -- the way of talking about the army, and about that Poland ispreparing for difficult times, and we are sure that we will survive, and also would --toward the end, when there were the alliances with England and France, that we"" llhave some help and some support from the west, if Hitler will attack us. And thatthey will defend Poland to the last drop of blood. And somehow that right would beon our side. [phone ringing]"
"Q: Mm-hm, yeah.","A: And so, in that sense, we looked with some hope to -- [interruption][break] The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.-Interview with Maria Pawulska RasiejMay 8, 2013"
"Q: So, there are very troubling things that are happening, but also signals that you"" ll",A: Feeling.
Q: Yeah.,"A: Feeling hope, and also based on the -- our faith, religious faith, and feeling thatwe were not the people who could cause the war, but rather to defend our honor, butnot to kind of being afraid that we are facing such a mighty enemy, and such aruthless enemy. So unfortunately, this happened. But it still, from what Iunderstand, the Germans, when talking about the September war, 1939 war, in theirreports said that some of the bravery was enviable, about Poles before they died, orbefore they had to leave the post, or something. That's all, there were stillmonument in some places where was almost like [indecipherable]"
Q: Yeah.,"A: Where everybody would die without giving up the defense. So -- and then, alsothe feeling that we will -- the goodness should win in the long run, but we didn'tknow how the things were."
"Q: Okay. I'd like to get a sense of, as August 1939, or as summer 1939 is","A: Well, the instant of the war, I very well remember, the first of September. I --when I came back from my aunt, near Krakow, where I spend the vacation, shebrought me around sixth or fifth of August. And I knew that the -- at that time therewere some unpleasant meetings between the German and Russian people,diplomatic, some conferences or whatever, we didn't know yet at that time. Andbecause that war seemed to be imminent, my aunt and uncle brought me home toLvov. And by then my father was not sleeping at home, but staying on his postwhere he was assigned at part of Lvov, at Lychakiv, near where his whole unit wasat. And my mother took me on the first of September to say hello to my father,because this was around -- like around 10 o'clock or so in the morning, to greetTadeusz after coming back from vacation, and to say hello, to see him, but thenreturn without him, with my mother. And I was returning by tram number one. ThatI remember too, the tram number one was actually traveling from nearby where myfather was staying, but he's quite a lot across from where we lived, and by the timewe were passing mid-after -- sitting in the -- in the train and train was going, and westarted hearing something like bombs, or some shot -- shooting, or something thatsounded like thunder, or we didn't know what it was. And close to our church, The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.2Interview with Maria Pawulska Rasiej degMay 8, 2013which is -- which was not too far from the place where we lived, at that number onestopped, and the tramway -- and people were trying to watch the planes flying over,and people were saying no, th-these are not Polish, these are not Polish planes. Andthen we hear some of the bombs breaking sound, and the -- the conductor of thetramway said, you have to hurry home and try to get into the basement orsomewhere to hide, because this is the -- we are attacked from the air by Germany.I remember then walking back, I saw a woman -- I don't know how I remember that,but carrying a pillow with blood on it. And she said my daughter was hit by --whether by shrapnel, or whether by a brick or something, because of the fallinghouse, that her -- her head was on that pillow when her daughter was, and she wascrying and carrying before we got to our house. And we -- we got to the base --basement, but actually what -- later on it was arranged there were some neighbor --neighborhood houses where had bigger basements, much more prep-prep-preparedto take some people in. And so the rest of [indecipherable] before the Russianscame, before the 22""! of September, when the Russians came to Lvov, they enteredPoland on the 19"" of September --"
Q: Hang on a second.,"A: Ni--no -- Poland, 17"" of September they entered -- they crossed the border. Bythe time they came to Lvov, Lvov was being surrounded by the German army. And"
"Q: Okay, let's stop there for a second, though. You're in -- you're in the basement","A: The -- the bombardment, the --"
Q: The -- the -- the bombardment comes. So you didn't know the war -- war was,A: Saw the -- the airplanes --
Q: Planes.,"A: -- and the people talking th -- oh no, these are Polish, oh no, no, these are notPolish airplanes."
Q: Yeah.,A: And then hearing the whistle --
Q: Of the bombs.,"A: -- of the bombs.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.28Interview with Maria Pawulska RasiejMay 8, 2013"
"Q: Well, it meant that, I mean, Lvov being so far east --","A: Well, it's -- but for the airplanes --"
"Q: Germ -- yeah, it's not long. It's not long at all.","A: Not only that, you have to remember that Poland was surrounded from threesides. Only the Russian border was not use -- being used as an army for Germany.Czechoslovakia was taken, and Slovakia was a Hitler friend. That's the south ofPoland."
Q: And of course --,A: Prussia.
Q: Yeah.,"A: Prussia was the German place of Teutonic knights, which you know, asLithuanian Teutonic knights --"
Q: Right.,"A: -- to that part of -- of what was Poland at one point. So the north part, and all the"
Q: West.,A: -- all the west.
Q: Yeah.,"A: So the -- the -- Poland was like taken into squeeze. So I don't know whetherthese planes came from -- maybe from Czechoslovakia, which wasn't too far."
Q: That's true.,A: And -- but the -- the advance was swift.
"Q: Well tell me -- tell me then, in those three weeks, if it started from the first --",A: Three --
"Q: -- until the -- until the Russians enter on the 17"", they cross the border --","A: Yes, but the war was still going on, the Poland did not surrender until the 29"" ofS-September, Warsaw fell."
"Q: Okay, what I'm interested in is what is happening with you and your family in","A: My father was at his post, and from time to time was sending us, either throughhis adjutant or some telephone that everything is all right with him, and to take care,and hope for the better, that the German, as a matter of fact, stopped -- were stoppedaround Lvov, they could not enter Lvov. And then there was a day of quiet, the22(tm)4. The -- actually the evening of 21deg, all the ar-artillery fire, because this wasconstantly, we had constant air raids, and constant, at one point wa -- when theGermany was surrounding Lvov, constant battle.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.30Interview with Maria Pawulska RasiejMay 8, 2013"
Q: So did you stay at home? Did you stay in the cellar?,A: We stayed at home on the first floor.
Q: Okay.,"A: And went to s -- no, we didn't go to school."
Q: Okay.,A: The school were -- was sto --
Q: Stopped?,"A: -- closed. And -- but I remember going to visit my friend and spending sometime, when -- but one of the things that -- that my parents, probably every parent wastrying to get some preparation, some food storage for something that will takelonger."
"Q: That's right, that wouldn't spoil.",A: That is it not -- right. That -- so very often it was to go -- this is still the Russiansare not in.
Q: Yeah.,"A: And then the -- on the 22"", they enter Lvov. There is no more bombardment,there is no more artillery fight. But the other things started to --"
Q: Happen.,"A: Mm-hm.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.1Interview with Maria Pawulska Rasiej degMay 8, 2013"
"Q: Okay. So I'm going to try and repeat what I -- what I think I understand, is that in",A: Only the last few days before they -- the Russians came. The --
"Q: Okay, so until then, in those first two weeks --",A: Mm-hm.
"Q: -- let's say 14 - 15 days, there was no fighting in Lvov?",A: Not inside Lvov.
"Q: Not inside. And -- and so was -- was there food still, were the stores filled, were --","A: Yes, the --"
Q: Okay.,"A: -- would be like -- you probably have seen some of the films showing Britain.You know, there -- there were bombardments, although they were not surrounded bythe Germans, but at -- at the time when bombardments, the s -- the s-sirens were --"
Q: Right.,A: -- [indecipherable] and then you run to the basement.
Q: Okay.,"A: And then the sirens would sound again, and you would go back to yourapartment. But then, toward the end when Germany surrounded Lvov, which was, The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.32Interview with Maria Pawulska RasiejMay 8, 2013I think five days before, or maybe more, I can't [indecipherable] or I would look atthe book, and we would know. But a -- a -- around few days, there was a constant,about 10 day -- now I remember, 10 days, because my mother saying 10 days thatwe were staying and sleeping in the basement."
Q: So you were under siege. At that point you were under siege.,A: Right.
Q: And could wa -- could I -- would it be accurate to understand that the Germans --,A: No.
Q: Okay.,A: No.
"Q: Okay, so --",A: They -- they -- from what I gather --
Q: Okay.,"A: -- from historic point of view, I am somehow amateur historian, and there wasmeeting with the Russians on the 21deg of September."
Q: Between the Germans and the Russians?,"A: Between Germans and Russians.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.33Interview with Maria Pawulska RasiejMay 8, 2013"
Q: Okay.,"A: At first when we n-- we learned about Russians coming in, from the news, butwha-what kind of news could come while was in -- in wartime is very difficult tosay what is true and what not. But at that time, in a sense, we were puzz -- Poleswere puzzled: why the Russians come? There was an alliance between Poland andRussia in 1933 -- 32 first, and completed in ""34 for non-aggression pact. Sosupposedly we were free on the east, but unfortunately, the Russians broke it. Tothis day they say there was no war. So, for example, the prisoners of war who hadbeen killed, are not recognized the victims of the war to that kind of -- some kind ofthe defense that Russian would, after finally admitting that it was Russians, at firstthey said th-the -- the German forces came with the po -- the Russian prisoners ofwar who are in Russia. But at that time there were no Germans in Russia."
"Q: So, if there was a bombardment of -- of Lvov, and all of a sudden it becomes","A: We didn't see them retreat, wis -- we heard stoppage of the artillery fire."
Q: Okay.,"A: And then the eerie kind of quiet. We didn't know what to expect from left toright, whether the bombs coming, or whether the artillery will be taken. And we, atthat time, most of the people didn't think that the Russians came as friends."
Q: So what -- when was the first time you saw a change? When was the first time,A: Immediately.
