Question,Answer
Q: You were the wrong class?,"A: Yes. So and my father which minimized after had a business the little that he had, all that it -- he couldn"" t-it has to be nationalized everything had to be nationalized. But the biggest shock was they took away our Hebrew. And we were, I would say Israelis, we were Hebrew kids and Hebrew was everything. Even the Lithuanian language wasontectnetbnancedjushetnney for father Hlonmalberabouttfiseetecion 7 started in Hebrew. And this is forbidden. Yiddish. But I cannot write Yiddish. There is a difference in Yiddish if it is uh if you write the same letters in Hebrew and Yiddish you write the same letters in Hebrew, but the -- for example ""A"" ""E"" just to give you an example. In Hebrew, has three points, and in Yiddish it has a thing like this an ""ine"". So--"
Q: It changes?,"A: -- So when they called me to the board -- (another language spoken) He was cross and said ""What kind of a Jew are you, you cannot speak Yiddish. You cannot write Yiddish"" and I started to cry. It was kind ofa joke no?"
Q: Did your teachers change in school? Were there new teachers?,A: Uh Hebrew teachers. No one stayed. As I said we use to go to Smetona we use to go that flag was the blue and white one and the Lithuanian flag were still flags how tolerant he was. It was forbidden. To call me (another language spoken) or whatever I could go and complain to the first policeman and he was forced to punish a boy. Or take him to the Boka (ph) the day.
Q: The Boka (ph) is sort of a jail?,"A: We knew it, we knew it, we -- nobody touched us. Nobody did anything bad to us. Maybe here and there (another language spoken). But it didn't come to an extent of hitting but maybe some other, boys and girls. But mainly not. It was not no. It was not -- I cannot tell and when the Russians came, everybody's equal. And the Jews have the same rights like everybody else but they had the same rights before too, they had even better rights. It was a shock but we stayed in the same flat. The biggest shock was that we couldn't practice Hebrew anymore. So we did it --ontectnetbnancedjushetnney for father Hlonmalberabouttfiseetecion ts"
Q: -- quietly.,"A: Quietly, and in hiding. Because they were anti-Zionist, anti-Hebrew, anti, anti, anti, they wanted us to go to Birobidzhan, if you know what --."
Q: Yes. Birobidzhan is the Jewish Soviet Republic.,"A: But we were still in (unintelligible) if you remember, in Kaunas."
Q: Yeah. House of culture?,A: Piersney Plaskey (ph).
Q: What does Piersney Plaskey (ph) mean?,A: It was dancing and singing.
"Q: Dancing and singing, Piersney plaskey (ph).",A: So.
Q: That's Russian.,"A: But after three quarters of a year passed by and I started to be neglected. I'm not a Pioneer. And then my sister came one day and says, ""Do you want to go to Palanga?"" And I said yes."
"Q: Palanga, P-A-L-A-N-G-A.",A: Yes. It is a resort.
Q: On the Baltic Sea.,"A: So uhI go to Palanga and maybe after you finish the Chem there you"" ll be a Pioneer.And so I went to Palanga. It was tough, economically, because my father was not in good shape. My mother hired a truck and sold little pieces of wood that you -- it shows you again my mother was organizing things. And then -- oh, by the way Vincent (ph) stayedontectnetbnancedjushetnney for father Hlonmalberabouttfiseetecion te with us by the Russians too. She didn't lift the red flag. She didn't like it too because Vytas (ph) was sent to Siberia."
Q: He was arrested and deported?,A: Yes.
Q: Was that -- was he one of the first arrested or was it um --,A: Vytas?
Q: Yeah. Or was he deported in June --,"A: He was deported, I don't know. Because he was a soldier in --"
Q: -- in the army?,"A: Inthe Lithuanian army. In the Lithuanian army. And it was passe, totally passe. They were the army of the Bourgeois. I don't know what they had in mind."
Q: Did--,"A: But half of my class, was shipped to Siberia. And maybe they would ship us too."
Q: -- better?,"A: And in my class they all came back and all immigrated to Israel. They didn't go to America. So when we had our reunion and we were 50, five years ago, there were many children there. Because if they were to stay there would be very few children, if at all. Soontectnetbnancedjushetnney for father Hlonmalberabouttfiseetecion - uh--"
"Q: Did your family have that feeling, too, that they may be shipped to Siberia? Was that talked about at home or you wouldn't know of it?",A: How can you hide it?
Q: Okay?,"A: Your next-door-neighbor being sent to Siberia in the middle of the night have a little valise and you go to the train, to Siberia."
Q: Are you talking about that night of deportation that happened in June in 1941?,A: Yes.
Q: That one.,"A: You know in that deportation, not only Jews, all the Lithuanians. The Lithuanians said only we were deported and all you Jewish people were not deported because you were Communist and blah blah. A half-class minimum, more than a half class and they came back. It was difficult."
Q: But one--were you in Palanga in June of 1941?,A: You know about Palanga was a camp.
Q: [ve heard of it. ve heard of it -- I know of somebody else who was in that camp.,A: Somebody else? A Jewish boy?
Q: Yeah. A Jewish boy who was in that camp.,A: Is he in America?
Q: Unfortunately now he is dead. He died in 1997.,"A: Aye, aye, aye, he was young.ontactrefieannedjustanmiang er hither btemelortabnattfiexaliaton te"
Q: When was Alec (ph) born? Do you know of the name Stromas (ph).,A: Of course.
Q: It was Alec Stromas (ph). Okay so --,A: Iknew him very well. He was in the camp but he became a Communist.
Q: No (sighs). He did become a Communist.,"A: Later before he was a Lithuanian Nationalist but he was a Communist. Later his father was -- don't tell me the Stromas (ph) -- I know Alec, I know the family. I know everybody there."
Q: You do?,"A: And there mom, brother, I know everything."
"Q: Mom died, mother passed away.","A: Iknow. I still have a cousin in Kaunas, Visidea (ph), do you know her?"
Q: Thirty years.,A: She gives us a hard time.
Q: Does she?,"A: Even if but don't praise them, for heaven's sake. I down talk to her anymore. You know her because she comes here often?"
"Q: Iknow her from many years now, many many years. But that's a side issue, let's go back to the interview?","A: Alec was in Palanga and never told me, I liked him. Very clever guy. And his wife."
Q: She lives in Lithuania. Um.,A: Palanga.ontectnetbnancedjushetnney for father Hlonmalberabouttfiseetecion 10
Q: Palanga. If you were --,A: -- 22nd of June. There's an interesting thing. I don't remember anything that happened in Palanga.
Q: Do you remember how you got there? Your mother hired somebody to take you there? Is that what you said? Or she hired --,A: -- I don't know.
Q: You don't remember.,A: I don't remember.
Q: You just know that you wanted to be a Pioneer but not excluded.,"A: Iknew I be a Pioneer but, but, but this only shows you what is brainwashing. After two weeks I was willing to kill for Stalin, to die for Stalin, to jail my parents, to kill all my uncles. (laughs) I mean, this is when you take a young boy and you brainwash, this is crazy."
"Q: It is but you were also twelve years old, thirteen years old that's the optimal age for those things to happen.",A: Yeah.
"Q: That's the -- you know, if you were 18 it wouldn't happen quite like that.","A: You know the Arabs well now it's quiet but ten years ago when they are asked to commit suicide. I explain to people, what is brainwashing? Brainwashing is, is, | am brainwashing. I know what it is. They change you, they promise you 71 virgins in Allah."
Q: That's right.,A: Allah will take care of you. This is brainwashing. And now the shock.ontectnetbnancedjushetnney for father Hlonmalberabouttfiseetecion so
Q: Yeah and tell me about --,A: -- and why the shock.
"Q: What happened, first of all?","A: Frist of all, they closed the border off Lemin and Clibida (ph) and they came in motorcycles and bicycles and I don't know what else."
Q: Can you tell me -- do you remember how they looked?,A: Yes.
Q: How did they look?,A: The Germans?
Q: Yes.,"A: Organized, fit, blitzkrieg, and the shock is, the Russians, the big Russians, the army that's after --. They ran, they left their shoes. They ran like crazy. They didn't fight back.And this is like we don't need to fight back."
"Q: So you were in this pioneer camp in Palanga, this resort on the Baltic Sea, the resort.",A: Disappear.
Q: So all the children just left there?,A: Left there. Some of them succeeded with (Unintelligible) to go with them to Russia.
Q: Isee. About how many children were in that camp?,"A: Many. Maybe thousands. Lot of children. And on the very same day, the Lithuanians came, the Jewish children here, the non-Jewish children there. a"
Q: All of them had been pioneers before but they split them in two?,A: All of them were split. The Jewish children. We were put in a synagogue. Together with women and children. The men were put in another synagogue. And put on fire.This was the Lithuanians. They did.
Q: But was this -- did they take the Jews of Palanga together with the children who were in the camp?,A: Yes. Bravo.
Q: Okay.,"A: The Jews of Palanga, and then the torture started."
Q: Where were you?,A: In the synagogue.
Q: You were in the synagogue? And so you saw it go up in flames?,"A: The other one? No, the other one we didn't see these people. Because the other one was far away."
"Q: Oh, so there were two synagogues?",A: Yes. Always two synagogues.
Q: But the one that went up --,A: The Jews say in this synagogue I don't go.
"Q: But the one that went up in flames, luckily you were not in that one. You were in the other one?","A: No, no, no."
Q: Okay.ontectnetbnancedjushetnney for father Hlonmalberabouttfiseetecion =,"A: No, I was considered already a big boy."
Q: So you went to the --,A: Only the men. The infants were with the mothers.
"Q: So the men were in the synagogue that went up in flames? I see, okay. It was put on fire, in other words.","A: And then the ceremony started. Take the Torah books, go with them, and they shouted ""hey,"" they were watching us. Put in on fire."
Q: So this was the militia?,"A: Why? What happening to our neighbors, to such an extent? I didn't know that was happening in Kaunas was much worse. They went from house to house. So, I don't know. Where are my parents? Where is my sister? Where is my little brother? Where is Vincent (ph), where is Teraza (ph)? I will tell you something. Vincent (ph) and Teraza (ph) were considered family. This is the same unit. It's not something upstairs- downstairs. We are sitting there in this synagogue about three weeks."
Q: About how many people were in it?,"A: Tons. One hundred fifty. Terrible. We had no restrooms and we had hardly something to eat. And every day it was a procession of the books. All the book in the synagogue. We had to carry them and put them on fire. There was beating, there was cursing."
Q: And was it Germans or was it Lithuanians or was it both?,A: The Germans were not there.
Q: Lithuanians.ontectnetbnancedjushetnney for father Hlonmalberabouttfiseetecion =;,"A: They were busy. Blitz. We would go and one-and-a-half days Lithuania was -- and the soldiers would run away. I compare it sometimes with, of course, with the Arabs."
Q: So they were --,"A: They were afraid of us. Today, I don't know. But don't worry, we will settle it. We know what to do. You know, what is the worst thing is the helpless, you are helpless."
Q: What did you see when you get back to Kaunas? What did you --?,"A: Empty streets. People didn't dare to go out. There were 14 thousand Jews and ten thousand killed by Lithuanians in the first month. Killed. And the question is, why? And sometimes I think that the factor of to rob us and to look for gold and diamonds and things like this. Was also -- or, it was somewhere, maybe, the organizist (ph) is maybe because we Christ, we put Jesus on the cross. But no we didn't put -- the Romans put --ontectnetbnancedjushetnney for father Hlonmalberabouttfiseetecion 7 it's crazy. It's absolutely --"
Q: What was your mother like? When you came home she must have been frightened too because you were in Palanga and she didn't know what was happening.,"A: Ofcourse. My health, my father, my mother, didn't turn out that Tereza (ph) told me. They went from flat to flat. And their headquarters just in front of the watershed."
Q: And you lived on that square?,"A: Yes. And they used to come very often. To look for the Jews. And she said they took them away. She was hiding them under the bed, and in the cupboards. All kinds of hiding places in the flat. So they had to look. She said ""Me, I, they didn't give it to me.It's me I took it. My little girl. And we are very happy they took them. Put on a plate."" I didn't know --I wouldn't know it I would put name by the righteous, because she risked her life. I don't know if she is still alive but she she did not everybody did. Some just turn in and she -- we came to Pulsa Pukamas (ph), I'm shifting. And Tereza (ph) took off the rings and said this is the ring my mother, your mother gave to my mother."
Q: Aww. Oh dear.,"A: I want you to have it. It's a big ring it was a big ring. It was a white ring. She cut it in three pieces and gave it to Teraza to me and her. And she said, ""take all the furniture."" Four years ago we had the furniture nice furniture. ""Take everything,"" she said. ""We won't come back."" And no, I didn't take it. What I took is a picture of me playing the violin. I hated the violin. And we had lunch on our tablecloths."
Q: In 1995.ontectnetbnancedjushetnney for father Hlonmalberabouttfiseetecion ss,A: [ll show you the movie next time when I come.
Q: Yeah.,A: Are you in New York sometimes?
Q: Sometimes. Do you come to New York sometimes?,A: Icome every year.
Q: Okay.,A: Ibrought my (Unintelligible and laughs).
Q: Um?,"A: Uh, this remember. The three of us, I went off the bus. I was very happy to be with my family again. And we went home. And then we went into the ghetto."
Q: Tell me about that. How did that occur? What do you remember about going into the ghetto?,"A: When he came, with the carriage and the horse. And they put us in the ghetto. And what the Germans did they said, ""Now we are going to form a ghetto. And this is after the war will be over then you will go back to your houses."" I mean, they did everything to avoid a revolution. How do you avoid revolutions? Drops of hope. Okay we'll come back. And so immediately there was an organized lot to make sure you are managing the ghetto. And the police. And (other language spoken) which means, those who -- we'll give you four or five people we'll give you one room. They gave us one room. The room was a kitchen we had to share with another two or three families. If not the very convenient the grown-up girl too, but it wasn't the worst. This wasn't the worst. This was a Garden of Eden compared to the concentration camps.ontectnetbnancedjushetnney for father Hlonmalberabouttfiseetecion se"
"Q: When you went to the ghetto, was it all five of you? Your father, your mother, and your sister. And you had the one room? Did you have to go to work? Did your sister have to go to work?","A: My sister had to go to work, my mother had to go to work. My father had to go to work. And me all by myself not."
Q: Isee.,"A: But, on the very same year, ""41, in October 28, you know?"
Q: Tell me anyway. Tell me.,A: They announced that all the people has to report to the democrata plats (ph).
Q: Okay. Democracy Square. (other language spoken),A: Sometimes you really know names. And -- the all of us did not know what to do.
Q: Ral and who?,A: Rauca and Yordon (ph).ontectnetbnancedjushetnney for father Hlonmalberabouttfiseetecion =
"Q: Rauca, R-a-u-c-a and Jordan, J, you got that?","A: I think there were forts (ph), there were Nazis. And they should stay feminist, and they will stay home, we will kill them on the spot, which they did. And then they stick to the left is the good side and the right is the bad side. And I look at my family and I say they need walking partner. They can't still walk. All right with all of us. Even for me, I said. But what would they do with the little one? He is now spoiling the whole thing. Because of him he'll go to the bad side. But the police was the good side. Where the establishment was, there was a good side and there was a bad side. All the other, mainly women and children. And I said ""Aye aye aye."" But when we same to Rauca (ph). I put like this. Very tall family. My father was very tall. My mother was also tall woman. My sister was tall. And even I was tall. To my age. At that time I --"
"Q: So with Danny, even though he was nine years old at that time you went to the good side. Okay. I think we'll change the card now. Yeah?UNIDENTIFIED SPEAKER: Are we ready? Q: Yeah we're ready. This is a continuation of the USHMM interview with Mr. Uri Chanoch. Um so on that day, when you were, you know, to the right. You were saved.",A: Iwas to the left.
Q: Excuse me. To the left.,A: That's all right.
Q: And so you remember that. Do you remember what Rauca looked like? And what happened after that? How did your parents -- do you remember any details from that day?ontectnetbnancedjushetnney for father Hlonmalberabouttfiseetecion ss,"A: We were, I wouldn't say happy but we were content in the good side and it was heartbreaking. Because they took all of them there and cried and they stood there in the little ghetto. They all were part of the ghetto. If you saw it. In the ghetto was a bridge."
Q: Yes. But tell us what is Fort Number Nine?,A: Fort Number Nine is the killing spot for the Jewish people.
Q: In Kaunas.,"A: Or maybe some none Jewish people as well. Fort was one the nine forts or ten forts that surrounded Kaunas during the Russians built a -- a kind of fort to protect and defend Kaunas. And even today when you go and see, have you been? Have you seen the little guns there?"
Q: I don't recall that. I've been there but I don't recall that?,"A: We have to go very, very down. The trenches were already ready. We saw them going uphill. And they were shot on the very same day. And later on burned. This was the big action because they needed the great action. The problem is there are less and less people coming because the people are dying out."
Q: Yeah.,"A: This is a sad day for us. A sad day for me. Because I saw it with my own eyes and I heard it in my own ears, the shooting.ontectnetbnancedjushetnney for father Hlonmalberabouttfiseetecion so"
Q: You could hear the shooting?,"A: Yes, there was a lot of shooting. It was again, women and children. There was very little to do. What could they do? Nothing. Maybe some of them they put in the cells. In Fort Number Nine. But when they killed, the German Jews and the French Jews, they, put them in the cells first and then they killed them. There's a story from one girl. She lives here in New York somewhere. She says Jordan (ph) came, and rescued their family because her mother was a seamstress. What happened then is fairly quiet years. It doesn't mean there were quiet years because people got shipped to Estonia. And for work and then they were killed. And they were shipped to all kinds of to -- Shancy (ph)."
Q: Shansheay (ph)?,"A: To Shawshea (ph). And there was a kind ofa little camp so when they did make the list, they -- we didn't know if it was better or worse. What would happen to the Jews?But I, personally, understood that I have to belong to the establishment. And this will be the policy. This will be my insurance policy for my family."
"Q: By establishment, what do you mean?","A: Establishment is the police, the work office, and Unrat (ph). This is what we call establishment. Maybe there is another word in English for it."
Q: Okay. How did you do that? In what way did you get yourself connected there?,A: Iwas asking maybe they need a messenger. And I knew the Jewish -- I knew there was a German S.R. And a Jewish manager. So I wrote to him. And he said to come. And the minute I got this thing that was written to get I but a messenger this was a life insurance policy. Nobody can touch you. You are safe.ontactrefieannedjustanmiang er hither btemelortabnattfiexaliaton <0
"Q: So it's a 13-, 14 year-old boy?",A: I'ma messenger.
Q: You're a messenger.,A: And I'm happy.
Q: What kind of messages did you take?,"A: Bring this list to the Unrat (ph). Which was no, outside. Take this to the police and we had a car to take and we called, and we use to write all the people in the ghetto, their names and all kinds of things like that. The head of this was Gustav Hammon (ph)."
Q: Hammon Gustov or Gustov Hammon?,A: Youre right.
Q: Gustov Hammon.,A: You heard about him?
"Q: No, as a matter of fact. I have heard of Hammon (ph). Which is different. Hamon was with the Einsof Commando (ph) I believe.",A: That's not that's a different story.
"Q: Okay. Press it on. Um this interview is being interrupted. This USHMM interview with Mr. Uri Chanoch, is being interrupted on July 12, 2012. We are at the point where Mr. Chanoch is describing to us what life was like in the ghetto. And how he um, became a messenger for the Utinrat (ph).",A: Not for the Unirat (ph) -- for the German Work Office.
"Q: For the German Work Office. And we will continue this interview by phone, by phone, long distance, at a later date. Thank you, Mr. Chanoch, very much.ontectnetbnancedjushetnney for father Hlonmalberabouttfiseetecion -",A: I'm going to Lithuania. Probably.
Q: Probably in August. So I will call you --,A: Now Lam going right now after I come back.
"Q: Okay. So we will continue this interview um, most likely in August when you are back in Israel. Um thank you very much for your testimony so far and I wish you a good journey.","A: Thank you very much. And I want to tell you, you're a terrific interviewer."
Q: You can repeat those nice things.,A: You area very good interviewer. You have made me talk.
Q: Thank you.,A: And it's not so easy to do to make me talk.
