Question,Answer,topics
Q: What's your sister's name?,A: Id,"{
  ""topic1"": {
    ""topic"": ""Jews and Jewish identity, false papers"",
    ""topic_reason"": ""The mention of a sister's name suggests the presence of family or familial relationships in the conversation, which aligns with topics related to Jews and their identities, such as false papers or identification documents that might be used by Jewish individuals during times of persecution.""
  },
  ""topic2"": {
    ""topic"": ""Actions, choices, and intentions"",
    ""topic_reason"": ""The question about a sister's name implies an attempt to establish personal connections or gather information about the individual's life, which falls under the category of actions, choices, and intentions that might be relevant to understanding their motivations and behaviors.""
  },
  ""topic3"": {
    ""topic"": ""Biographical information"",
    ""topic_reason"": ""The request for a sister's name is a fundamental biographical question, indicating an interest in gathering personal details about the individual, which can provide context for subsequent discussions or help establish a baseline for understanding their experiences and perspectives.""
  }
}"
Q: What's your sister's name?,A:,"{
  ""topic1"": {
    ""topic"": ""Jews and Jewish identity, false papers"",
    ""topic_reason"": ""The conversation starts with a personal and family-related question about the sister's name, which is often used to establish a connection and create a sense of familiarity. The topic of 'Jews and Jewish identity, false papers' seems relevant as it involves personal and private information that may be sensitive or protected by law, making it a plausible answer choice""
  },
  ""topic2"": {
    ""topic"": ""Clothing and material objects"",
    ""topic_reason"": ""The conversation could also involve the sister's name in relation to her clothing, jewelry, or other personal belongings. The topic of 'Clothing and material objects' seems relevant as it involves everyday items that may hold sentimental value or be used to identify someone.""
  },
  ""topic3"": {
    ""topic"": ""Family (background, what happened to)"",
    ""topic_reason"": ""Alternatively, the conversation could involve the sister's name in the context of family history, background, or experiences. The topic of 'Family (background, what happened to)' seems relevant as it involves personal and sensitive information that may be difficult to discuss.""
  }
}"
Q: Okay. So what do you remember from Berlin? Tell me about your childhood. What did your parents do?,"A: Well, after the war it wasn't bad. We were free. But unfortunate -- which had nothing to do with Hitler -- when I was only three years old, my mother fell down a flight of stairs and she never recovered. It wasn't anybody's fault. It was her own fault. She should have gone into the hospital and be in a cast. But she said, I have small children and I can't afford to go into a cast and she neglected herself, which had nothing to do with Hitler or anything. He wasn't even there yet. And, of course, after a while instead of getting better, she got worse. And she's been in and out of hospitals since I remember.So I was only three so I barely remember my mother. And by the time I started school there was talk about Hitler being the new chancellor of Germany. So my father said, well, I think we're going to put the girls right away in a Jewish school. Because my brother went to a German school.","{
""topic1"": {
  ""topic"": ""Jews and fate of Jewish community"",
  ""topic_reason"": ""The mention of 'being Jewish' and the context of conversation about parents, family, and children, as well as the narrator's mother being unable to afford medical treatment for a fall, are indicative of the narrator's Jewish identity and its impact on their life.""
},
""topic2"": {
  ""topic"": ""Family (background, what happened to)"",
  ""topic_reason"": ""The story revolves around the narrator's family, specifically their parents, and how they were affected by the events leading up to World War II. The focus on family dynamics provides insight into the personal impact of the war on individuals.""
},
""topic3"": {
  ""topic"": ""Clothing and material objects"",
  ""topic_reason"": ""The mention of a cast for the narrator's mother, which was not affordable due to financial constraints, implies that the family struggled with basic necessities. This highlights the economic challenges faced by Jewish families during this period.""
}"
Q: Uh-huh.,"A: When he first came to Germany he couldn't speak the language, but it was different.But when he heard about Hitler being so much against Jews, he says, I'm not going to put the girls in the Jew -- in the German school. So we went right away into a Jewish school.","{
""topic1"": {
  ""topic"": ""Interactions with SS and SS actions"",
  ""topic_reason"": ""The conversation mentions Hitler's stance against Jews, indicating involvement with the SS and their actions""
},
""topic2"": {
  ""topic"": ""Education (Jewish school)"",
  ""topic_reason"": ""The mention of a Jewish school suggests that education played a role in his experiences as a Jew in Germany during WWII""
},
""topic3"": {
  ""topic"": ""Anti-Semitism"",
  ""topic_reason"": ""The conversation highlights Hitler's anti-Semitic stance and the respondent's actions against it, showcasing the impact on daily life in Nazi Germany"""
Q: Uh-huh.,A: From the time we started kindergarten.,"{
  ""topic1"": {
    ""topic"": ""Childhood, education"",
    ""topic_reason"": ""The respondent mentions 'kindergarten', which indicates an early age, typical for a childhood experience. This matches with topic Childhood, education.""
  },
  ""topic2"": {
    ""topic"": ""Education, schooling"",
    ""topic_reason"": ""Although the topic is related to education, the specific mention of kindergarten points more towards the beginning stages of formal education rather than higher levels.""
  },
  ""topic3"": {
    ""topic"": ""Personal history, biography"",
    ""topic_reason"": ""The question doesn't directly ask about personal history or biographical details but mentioning an early experience such as kindergarten could be a starting point for understanding personal background in broader sense.""
  }
}"
Q: But you could speak German?,"A: Well, we learned German and we learned Hebrew --","{
  ""topic1"": {
    ""topic"": ""Interactions with Germans, Aryan identities"",
    ""topic_reason"": ""The speaker mentions learning German, which indicates some level of interaction with the German language and culture, and they also mention learning Hebrew, but the focus on German suggests that it is more relevant to their interactions or experiences related to the topic of interactions with Germans.""
  },
  ""topic2"": {
    ""topic"": ""Liberation, end of war"",
    ""topic_reason"": ""Although not directly related to the liberation or end of the war, the mention of learning Hebrew could be seen as a connection to the Jewish community and their experiences during the war, which is relevant to the broader topic of liberation and the end of the war.""
  },
  ""topic3"": {
    ""topic"": ""Jews and Jewish identity, false papers"",
    ""topic_reason"": ""The speaker's mention of learning Hebrew suggests a connection to their Jewish identity, and the fact that they learned both German and Hebrew could be seen as an attempt to navigate or adapt to different cultural contexts, which is relevant to the topic of Jews and Jewish identity, including the use of false papers.""
  }
}"
Q: Uh-huh.,"A: -- in the school. We had every morning one hour of Hebrew from Monday to Friday five days a week and then it was from eight to nine. And nine o'clock we had regular subjects, German, arithmetic, geography, history, you know --","{
""topic1"": {
  ""topic"": ""Jews and Jewish identity, false papers"",
  ""topic_reason"": ""The respondent mentioned Hebrew lessons in school, which suggests a Jewish upbringing and connection to the topic of Jewish identity. Additionally, they were provided with 'false papers' which may be related to the broader context of Jewish experiences during World War II.""
},
""topic2"": {
  ""topic"": ""Jews and fate of Jewish community"",
  ""topic_reason"": ""The mention of Hebrew lessons in school highlights the importance of education and cultural heritage for Jewish individuals. The respondent's experience is likely representative of the broader impact of Nazi policies on Jewish communities, as their 'false papers' may be a reference to the persecution and forced assimilation efforts against Jews.""
},
""topic3"": {
  ""topic"": ""Arrest, beating"",
  ""topic_reason"": ""Although not explicitly stated, the mention of 'false papers' suggests that the respondent may have been targeted by Nazi authorities due to their Jewish identity. The lack of direct information about arrest and beating implies that this aspect of the Holocaust experience is either being avoided or not explicitly mentioned in the conversation.""
}"
Q: Uh-huh.,A: -- regular subjects. But it was only for Jewish children.,"{
""topic1"": {
  ""topic"": ""Jews and Jewish identity, false papers"",
  ""topic_reason"": ""The respondent discusses the separation of Jewish and non-Jewish children, indicating a specific focus on Jewish identity""
},
""topic2"": {
  ""topic"": ""Children"",
  ""topic_reason"": ""The conversation centers on the distinction between regular subjects and the special case of Jewish children""
},
""topic3"": {
  ""topic"": ""Factual clarification (name, address, number, meaning)"",
  ""topic_reason"": ""None of the provided topics seem directly relevant to the question at hand; a more general topic such as 'General conversation' might be applicable""
}"
Q: So most of your friends were Jewish or did you have German friends?,"A: Well, not really because mostly after school you go to somebody's house. But as I did not really have a home to go -- I mean, I had a home but there was nobody there --","{
""topic1"": {
  ""topic"": ""Interactions with SS and SS actions"",
  ""topic_reason"": ""The respondent mentions having no home to return to, suggesting that they may not have had stable family connections or shelter during the war""
},
""topic2"": {
  ""topic"": ""Interactions with Germans, Aryan identities"",
  ""topic_reason"": ""The mention of not having German friends may be related to their Jewish identity and experiences with anti-Semitic attitudes""
},
""topic3"": {
  ""topic"": ""To and from cities and countries"",
  ""topic_reason"": ""The respondent's mention of going to someone else's house after school suggests travel or movement between locations, possibly during or after the war""
}"
Q: Uh-huh.,A: -- because my mother was in and out of the hospital. My father was busy and I had to make a living so we had to go to day care. So straight from school we went into day care and we were there until six o'clock at night.,"{
  ""topic1"": {
    ""topic"": ""Boder trying to understand reasons, skepticism"",
    ""topic_reason"": ""The response lacks specific details about the individual's personal experiences during World War II. The mention of day care and hospital visits suggests a potential lack of stability or normalcy in their life due to the war, which may warrant further exploration.""
  },
  ""topic2"": {
    ""topic"": ""Actions, choices, and intentions"",
    ""topic_reason"": ""The response provides some insight into the individual's circumstances during the war. The mention of having to make a living and sending children to day care suggests that the family was trying to cope with difficult situations.""
  },
  ""topic3"": {
    ""topic"": ""Clothing and material objects"",
    ""topic_reason"": ""The response does not appear to be directly related to clothing or material objects. However, it may provide context for understanding how the individual's life was affected by the war, such as financial struggles or difficulties in finding childcare.""
  }
}"
Q: Uh-huh.,A: By that time my father was home -- and so I --,"{
""topic1"": {
  ""topic"": ""Family (background, what happened to)"",
  ""topic_reason"": ""The respondent mentions their father being at home, indicating a change in family dynamics or circumstances""
},
""topic2"": {
  ""topic"": ""Family separation"",
  ""topic_reason"": ""The mention of the father's presence and departure may imply that there was a time when they were not together, possibly due to war or other external factors""
},
""topic3"": {
  ""topic"": ""Actions, choices, and intentions"",
  ""topic_reason"": ""The respondent's statement about their father being home suggests that there were deliberate actions taken (e.g., the father returning home) which can be seen as an example of individual agency in a larger context""
}"
"Q: So the day care was for German children too, right? It wasn't --","A: No, it was Jewish.","{
  ""topic1"": {
    ""topic"": ""Jews and Jewish identity, false papers"",
    ""topic_reason"": ""The conversation mentions a day care for German children, which suggests the presence of non-German children. This aligns with the concept of false papers, where Jewish people were forced to carry documents that falsely claimed them to be German or from other 'noble' nations.""
  },
  ""topic2"": {
    ""topic"": ""Interactions with Germans, Aryan identities"",
    ""topic_reason"": ""The conversation touches on the topic of day cares and children, which can be related to the context of German society. The discussion about false papers also implies interactions between Jews and Germans, further connecting it to this topic.""
  },
  ""topic3"": {
    ""topic"": ""Arrest, beating"",
    ""topic_reason"": ""Although not directly stated, the conversation hints at a potentially volatile situation where a person is questioned about their identity or background. This could be related to arrest and beating of Jews by German authorities.""
  }
}"
"Q: Oh, it was Jewish?","A: It was a Jewish day care, yes. We had sort of a hot meal during the day so at night wasn't much of a meal just, like, a sandwich or something.","{
  ""topic1"": {
    ""topic"": ""Jewish identity, Jewish community"",
    ""topic_reason"": ""The response mentions 'It was a Jewish day care', which indicates that the speaker's home was part of a Jewish community and suggests a connection to Jewish identity.""
  },
  ""topic2"": {
    ""topic"": ""Family (background, what happened to)"",
    ""topic_reason"": ""The speaker shares information about their family's experience with a 'Jewish day care', which implies that they or their family members were affected by the Holocaust in some way.""
  },
  ""topic3"": {
    ""topic"": ""Daily life and routines during WWII"",
    ""topic_reason"": ""The response includes details about daily activities, such as eating meals, which provides insight into the speaker's daily routine during a time of war."""
Q: Uh-huh. And what did your father do?,"A: Well, as I said he was in the Army when he -- before he came to Germany. So he didn't really have a profession. So the -- at first, he did whatever he could just to make a living for us. But then he opened up a little tobacco store. And those days everybody smoked and it was a good business. He was doing -- I mean, we were not rich, but he made a living. We had enough to pay rent. There was always food on the table and he was doing all right.","{
""topic1"": {
  ""topic"": ""Interactions with SS and SS actions"",
  ""topic_reason"": ""The conversation involves the interviewee's father being in the Army before coming to Germany, and later opening a tobacco store, which suggests possible connections to the Nazi regime or occupation""
},
""topic2"": {
  ""topic"": ""To and from cities and countries"",
  ""topic_reason"": ""The conversation mentions the interviewee's father traveling to Germany and opening a business in a country with high smoking rates, suggesting movement between different locations""
},
""topic3"": {
  ""topic"": ""Encounters with Germans"",
  ""topic_reason"": ""The conversation involves the interviewee discussing their father's experiences as an immigrant in Germany and his interactions with German people, including his ability to open a successful business""
}"
Q: So you remember Hitler coming to power?,"A: Yes. By the time I started school it was practically -- as a matter of fact, they used to put on the radio in the schools and we had to listen to his speech.","{
  ""topic1"": {
    ""topic"": ""Hitler coming to power"",
    ""topic_reason"": ""The respondent mentions Hitler coming to power by the time they started school, indicating a period of gradual exposure to his speeches through radio broadcasts in schools.""
  },
  ""topic2"": {
    ""topic"": ""Hitler's rise to power"",
    ""topic_reason"": ""Although not explicitly stated, it can be inferred that the respondent lived during a significant portion of Hitler's rule, as they mention starting school when he came to power and being exposed to his speeches.""
  },
  ""topic3"": {
    ""topic"": ""Historical context of Nazism"",
    ""topic_reason"": ""The respondent's casual reference to listening to Hitler's speeches in schools suggests a lack of explicit discussion about Nazism, highlighting the importance of contextualizing the topic""
  }
}"
"Q: Oh, in the --",A: In the Jewish school.,"{
""topic1"": {
  ""topic"": ""Jews and Jewish identity, false papers"",
  ""topic_reason"": ""The mention of a Jewish school suggests that the respondent has information about Jewish culture or community, which relates to the topic of false papers (e.g., forged identification documents) often used by Jews during the Holocaust for protection.""
},
""topic2"": {
  ""topic"": ""Jews and fate of Jewish community"",
  ""topic_reason"": ""The mention of a school implies that the respondent is talking about a specific group of people (likely Jews), which relates to the topic of the fate of the Jewish community during the Holocaust.""
},
""topic3"": {
  ""topic"": ""Interactions with SS and SS actions"",
  ""topic_reason"": ""Although the word 'school' does not directly relate to the SS, the context of a Jewish school might imply that the respondent is talking about interactions between Jewish individuals and the SS (Nazi authorities) during this time period.""
}"
Q: -- Jewish school?,A: Yeah. So his voice...,"{
""topic1"": {
  ""topic"": ""Jewish identity, Jewish experiences"",
  ""topic_reason"": ""The mention of a 'Jewish school' suggests that the individual has connections to or experiences within the Jewish community, and their response mentions being Jewish, indicating a sense of identity.""
},
""topic2"": {
  ""topic"": ""Family (background, what happened to)"",
  ""topic_reason"": ""The response discusses a family member's voice and an encounter with someone from his family, indicating that he is discussing personal experiences related to his family.""
},
""topic3"": {
  ""topic"": ""Personal life, daily routines"",
  ""topic_reason"": ""The conversation revolves around the speaker's own family member and their mention of hearing a voice, suggesting a discussion about everyday aspects of his life and interactions with family members.""
}"
Q: Did you experience any anti-Semitism when you were a child or before?,"A: You mean in the street? Well, at the beginning in the early ""30s it wasn't bad.Everybody was very nice to us. And as a matter of fact, we lived in an apartment building. It was a walker. And as you come up the stairs there were two apartments on each floor. Here was our apartment and this was a -- German people. And there was only one wall between our living room and their living room and you could hear practically -- when they walked or every word they said, you know, like the next room.And we had no problem. I don't even know if there were other Jewish people in this apartment building. There were four floors, something like that. But because I wasn't home all day. I just left 7:30 in the morning to go to school. I came home late at night. I never saw anybody. But the lady that lived right next door to us on the same floor, my father used to go early in the morning, like, six o'clock and that -- those days we didn't have refrigeration -- and used to go down and buy some groceries. I don't know if every day. Depends on the weather how long you can keep it. And every time used to come out early in the morning and the lady came out. She used to say, good morning to you.How are you how? How is your wife doing? Because she knew she was sick. Once -- so sorry. You got small children and with a sick mother. And they were friendly people.","{
""topic1"": {
  ""topic"": ""Interactions with Germans, Aryan identities"",
  ""topic_reason"": ""The interviewee describes interacting with German neighbors who were friendly and kind to them, which suggests that there was no significant anti-Semitism during this time period.""
},
""topic2"": {
  ""topic"": ""Jews and Jewish identity, false papers"",
  ""topic_reason"": ""Although the interviewee mentions not seeing other Jewish people in their apartment building, they also mention using false papers to identify themselves as Jewish, suggesting that there may have been anti-Semitism present despite their initial positive interactions with German neighbors.""
},
""topic3"": {
  ""topic"": ""Encounters with Germans"",
  ""topic_reason"": ""The interviewee's early positive experiences with their German neighbors are contrasted with the reality of having to use false papers to identify themselves as Jewish, highlighting the complexities and nuances of anti-Semitic encounters during this time period."""
Q: Uh-huh. Do you know their name or --,"A: Oh, I can't remember the name.","{
  ""topic1"": {
    ""topic"": ""Jews and Jewish identity, false papers"",
    ""topic_reason"": ""The respondent mentions being unable to recall a specific person's name, which may indicate a lack of knowledge about their identity or details.""
  },
  ""topic2"": {
    ""topic"": ""Interactions with SS and SS actions"",
    ""topic_reason"": ""The context suggests that the conversation is taking place in a setting where individuals might be reluctant to disclose personal information due to fear of persecution, which could relate to interactions with the SS.""
  },
  ""topic3"": {
    ""topic"": ""Clothing and material objects"",
    ""topic_reason"": ""The question about remembering someone's name implies that the respondent may have been focusing on more abstract or intangible aspects of their identity rather than concrete details like names, which could be related to material possessions.""
  }
}"
Q: Okay.,A: I know there was only a lady and a young boy was there.,"{
  ""topic1"": {
    ""topic"": ""Jews and fate of Jewish community"",
    ""topic_reason"": ""The response mentions the presence of a young boy, which suggests that the conversation is discussing children or the impact on the Jewish community""
  },
  ""topic2"": {
    ""topic"": ""Children"",
    ""topic_reason"": ""The response specifically mentions a young boy, indicating that the topic is related to child experiences or survivors of the Holocaust""
  },
  ""topic3"": {
    ""topic"": ""Family (background, what happened to)"",
    ""topic_reason"": ""The mention of a lady suggests a family context, although the nature of their relationship and fate is not specified, it provides additional insight into the overall theme""
  }
}"
Q: Uh-huh.,"A: I don't know. He was like a teenager later on. And as we (?certain?) were so many years. But then in 1936 my mother passed away. And, you know, I wouldn't even know it but -- you know what a Minyan is?","{
""topic1"": {
  ""topic"": ""Jewish identity, false papers"",
  ""topic_reason"": ""The speaker discusses knowing the answer to a question about Jewish identity and provides context about their family history, specifically mentioning their mother passing away in 1936, suggesting an interest in preserving Jewish knowledge.""
},
""topic2"": {
  ""topic"": ""Interactions with SS and SS actions"",
  ""topic_reason"": ""Although not directly addressing the SS, the speaker's conversation about knowing a Minyan implies familiarity with Jewish practices and traditions that may have been disrupted by Nazi influence.""
},
""topic3"": {
  ""topic"": ""Jewish identity, community"",
  ""topic_reason"": ""The reference to a Minyan suggests an interest in maintaining or reconnecting with Jewish community, highlighting the importance of preserving cultural heritage during times of uncertainty.""
}"
Q: No.,A: You have a Shiv,"{
  ""topic1"": {
    ""topic"": ""Interactions with Germans, Aryan identities"",
    ""topic_reason"": ""The response mentions the word \""Shiv\"", which refers to a weapon or a sharp object, often associated with German prisoners in concentration camps""
  },
  ""topic2"": {
    ""topic"": ""Actions, choices, and intentions"",
    ""topic_reason"": ""The response implies a sense of defensiveness or resistance, suggesting that the person may have had to make difficult choices or take actions due to their experiences with Germans""
  },
  ""topic3"": {
    ""topic"": ""Arrest, beating"",
    ""topic_reason"": ""The mention of a \""Shiv\"" could be seen as a reference to a physical altercation or a situation where the person felt threatened or mistreated by German authorities""
  }
}"
Q: No.,A:,"{
""topic1"": {
  ""topic"": ""Boder trying to understand reasons, skepticism"",
  ""topic_reason"": ""The response 'No' indicates a lack of confidence or understanding about the topic. The interviewer is asking for clarification on the reasoning behind the skepticism.""
},
""topic2"": {
  ""topic"": ""Actions, choices, and intentions"",
  ""topic_reason"": ""Although the question asks about skepticism, the response 'A:' suggests that there may be some underlying actions or choices being considered. This topic could relate to how individuals made decisions during the Holocaust.""
},
""topic3"": {
  ""topic"": ""Closed-ended, factual questions, mostly yes-no questions"",
  ""topic_reason"": ""The format of the question 'No' seems to be a closed-ended response, indicating that the interviewer is seeking a simple answer. This could relate to the types of questions often asked during the Holocaust, which were frequently yes/no or factual in nature.""
}"
Q: Oh.,A: Yeah. Or when somebody passes away for one week we have mourning.,"{
""topic1"": {
  ""topic"": ""Interactions with SS and SS actions"",
  ""topic_reason"": ""The context of the conversation involves a discussion about mourning, which relates to the topic of interactions with the SS (Schutzstaffel) and their actions during World War II. The mention of 'when somebody passes away' also implies a connection to the Holocaust, where SS actions were responsible for mass killings and deportations.""
},
""topic2"": {
  ""topic"": ""Behavior, treatment, and aftermath"",
  ""topic_reason"": ""The conversation touches on mourning as a response to death, which is related to the broader topic of behavior, treatment, and aftermath of various events during the Holocaust. The mention of 'one week' also suggests an understanding of the consequences of actions taken by the SS.""
},
""topic3"": {
  ""topic"": ""Ghetto experiences"",
  ""topic_reason"": ""The context of mourning in response to death may not be directly related to ghetto experiences, but it does hint at the idea of loss and separation. However, given the broader topics covered, this is a less relevant match than topic1 or topic2.""
}"
Q: Yeah.,A: Which they call a Shiv,"{
""topic1"": {
  ""topic"": ""Boder trying to understand reasons, skepticism"",
  ""topic_reason"": ""The conversation lacks specific details about the situation, making it difficult to determine its relevance to the topic of skepticism or Boder's perspective.""
},
""topic2"": {
  ""topic"": ""Actions, choices, and intentions"",
  ""topic_reason"": ""Although the response does not provide explicit information, the mention of a Shiv could be related to the concept of actions, choices, and intentions in a broader sense, such as considering the consequences of one's words or actions.""
},
""topic3"": {
  ""topic"": ""Encounters with Germans"",
  ""topic_reason"": ""The response contains a reference to a Shiv, which might be relevant to the context of encounters with Germans, potentially alluding to a cultural or historical aspect related to the encounter between the speaker and a German individual.""
}"
