Question,Answer,topics
"Q: Were you -- were you -- did you meet a lot -- you know, when you were little and","A: Yeah, they come to visit us and talking. That's all.","[1, 2, 3]"
"Q: Your brother and yourself, did you go to Polish schools, or Russian schools?",A: I go to German schools.,"[1, 2, 3]"
Q: You went to German schools?,A: Right.,"[1, 2, 3]"
Q: Okay. And why was this? Because Lvov is so far away.,A: Because -- because German school was the quality the best.,"[1, 2, 3]"
Q: Uh-huh.,"A: Mathematic, other thing, were the best. Polish school or schools, nothing special.And th-they wanted special.","[1, 2, 3]"
Q: What language did you speak at home?,A: Polish.,"[1, 2, 3]"
"Q: Okay. When you were growing up, how many languages did you know?","A: Again Polish, German.","[1, 2, 3]"
Q: Did you speak Yiddish?,A: No.,"[1, 2, 3]"
Q: Okay. Did you speak Russian?,A: No.,"[1, 2, 3]"
"Q: Okay. So, would you say your family was assimilated into Polish society?","A: Like less and more, yes.","[1, 2, 3]"
Q: Okay. Did your -- was your parent -- was your family very religious?,A: Medium.,"[1, 2, 3]"
Q: What does medium mean in this case?,A: What?,"[1, 2, 3]"
Q: What does medium mean? What did you -- how did you --,"A: It means you go when it was holiday, keep the holidays, but not special.","[1, 2, 3]"
Q: You were the older son.,A: So?,"[1, 2, 3]"
"Q: Did you -- did you get any special treatment by education, or were both you and","A: My, my brother the same.","[1, 2, 3]"
Q: Okay. Did you go to gymnasium?,A: Yes.,"[1, 2, 3]"
Q: Also German?,A: German.,"[1, 2, 3]"
Q: Okay. And what about any university? Did you enter university at all?,A: Yes.,"[1, 2, 3]"
Q: Where?,A: In Paris.,"[1, 2, 3]"
Q: In Paris?,A: Yeah.,"[1, 2, 3]"
Q: What were you studying?,A: Medicine.,"[1, 2, 3]"
Q: Did you want to be a doctor?,A: Yeah.,"[1, 2, 3]"
Q: And can you describe something about what Paris was like at the time? Was this,"A: A nice, entertaining spot.","[1, 2, 3]"
Q: Yeah?,A: Yeah. Twice [indecipherable] But now it's too [indecipherable] same stuff.Paris is Paris.,"[1, 2, 3]"
"Q: Yeah, it is. How many years were you there?",A: Three.,"[1, 2, 3]"
Q: Three. Did you finish your studies?,"A: No, the -- I have to finish five, not three.","[1, 2, 3]"
Q: Uh-huh. And why did you not finish them? What happened?,"A: A little stuff.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.10Interview with Joseph BachDecember 12, 2015","[1, 2, 3]"
Q: Tell me about the little stuff.,A: War.,"[1, 2, 3]"
Q: Well that's -- that's big enough. That ha -- you know. So you -- so the war,A: Right away. Come back home.,"[1, 2, 3]"
"Q: Okay. What did -- when you came back home, was it 1938, or deg39, do you",A: I don't remember.,"[1, 2, 3]"
Q: Had the war --,A: Was --,"[1, 2, 3]"
Q: Uh-huh?,A: Yeah. War.,"[1, 2, 3]"
"Q: What -- when you came back -- now, let me back up a little bit, I have another",A: Not bad.,"[1, 2, 3]"
"Q: Not bad. Did you have -- tell me a little bit about your parents"" home. Did they","A: No, they don't -- they didn't -- we didn't -- we live in nice house, but we didn'town it.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.1Interview with Joseph BachDecember 12, 2015","[1, 2, 3]"
"Q: And was it a single family home, or did you live in a flat?","A: That boy -- three family, three -- three -- okay, three family house.","[1, 2, 3]"
Q: Okay. And what kind of modern conveniences were in that house? Was there,"A: Toi -- toilet paper. I don't know what, you know [indecipherable] is.","[1, 2, 3]"
"Q: All right, I know, I know. But you know something, toilet paper is --",A: Correction -- wait a second.,"[1, 2, 3]"
Q: Okay.,A: Correction. For those that are doing only question [indecipherable] have sense.,"[1, 2, 3]"
Q: I understand that some of my questions may make no sense.,A: Sure. You can take it out.,"[1, 2, 3]"
"Q: Ah, it's okay. P'Il tell you why I ask these things. Because people today don't","A: Some -- some they were, some not. One house could be very modern, and oneother is not so modern.","[1, 2, 3]"
"Q: And when I ask that, you see, it also tells me a little bit more about how well off","A: Medium. I wouldn't tell that it's rich, or the -- medium.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.-Interview with Joseph BachDecember 12, 2015","[1, 2, 3]"
Q: Medium.,"A: No --no problem financially or -- or eating or something like that, I know.","[1, 2, 3]"
Q: So did your parents pay your tuition in the -- in Paris for medical studies?,"A: Oh, sure.","[1, 2, 3]"
"Q: Okay, so they could afford that?","A: Yeah, it's -- it's a-- no, that was not so big.","[1, 2, 3]"
"Q: Okay. When you came back to Lvov, what -- what did you do? Did you start",A: Metro Goldwyn Mayer.,"[1, 2, 3]"
Q: You started working at Metro Golden Mayer?,A: Right.,"[1, 2, 3]"
Q: How did that happen?,"A: I wanted to get the job, and [indecipherable] basically, I wanted to be a doctor.","[1, 2, 3]"
Q: Okay.,"A: But when is vacation, you go up and apply in a job what you can.","[1, 2, 3]"
Q: Okay.,A: So.,"[1, 2, 3]"
Q: And so you got that -- how did you get that job?,"A: I don't know myself. I got it, that's all.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.13Interview with Joseph BachDecember 12, 2015","[1, 2, 3]"
Q: Okay. And what was your job at Metro Golden Mayer? What were you,"A: We talk about how order, you know, order for pictures, and to send all additionalmeans [indecipherable] you need to be in [indecipherable] all advertise, all this[indecipherable]","[1, 2, 3]"
"Q: So you mean like when a movie would -- would be sent to Poland, you would",A: No.,"[1, 2, 3]"
Q: Okay.,"A: They send the movie, and they sell all advertising, all what you -- what thismovie are needed. You understand? When you give it to a movie, they geteverything with the movie. You don't really order.","[1, 2, 3]"
Q: Okay.,A: You give them the whole business.,"[1, 2, 3]"
Q: So your job was to make sure that movie cinemas got the movie with the,"A: Yeah, advertising was my department.","[1, 2, 3]"
Q: Uh-huh. And did that mean you had to translate the advertisements that they sent,"A: What's on America, was in -- in Polish.","[1, 2, 3]"
Q: It was in Polish already. All right.,"A: Yeah, they always prepared.","[1, 2, 3]"
Q: Okay.,"A: Matthew, relax.","[1, 2, 3]"
Q: Excuse me?,A: I talk to Matthew.,"[1, 2, 3]"
Q: Okay. He will. Hang on a minute.,A: No. M: Can I have it for a minute?,"[1, 2, 3]"
Q: Okay. He will. Hang on a minute.,A: Yeah.M: Thank you.,"[1, 2, 3]"
Q: Okay.,A: Yeah.M: Okay.,"[1, 2, 3]"
"Q: Okay. This is Matthew, who is Mr. Bach's grandson. So do you remember",A: I [indecipherable] starting in the movies.,"[1, 2, 3]"
"Q: I know my -- we want to know about this connection to Metro Golden Mayer,","A: What is interested, that's a movie, that's all, it's a business, it's nothing else.","[1, 2, 3]"
Q: Okay.,"A: Pani(ph) [indecipherable] Pani(ph) Valesca(ph), this I remember.","[1, 2, 3]"
Q: Pani(ph) Valesca(ph)?,"A: Ah this one, Polish dignitaries, ah, all baloney.","[1, 2, 3]"
Q: All baloney.,"A: Sure, it's -- it's [indecipherable] were some picture extraordinary.","[1, 2, 3]"
Q: Yeah?,"A: Ma, picture, you stamp it. Next.","[1, 2, 3]"
Q: How many cinemas did Lvov have?,A: Around -- around 12.,"[1, 2, 3]"
"Q: Uh-huh, about 12 cinemas. And did you have to have personal relations with all","A: What I have a [indecipherable] they came to the office, and they got whatever isneeded, that's all.","[1, 2, 3]"
Q: Okay. Did any Americans ever come?,"A: Okay we don't talk about the movies, we talk about the other things.","[1, 2, 3]"
"Q: We will, we will.","A: Tm sorry, it's finished.","[1, 2, 3]"
"Q: Okay, no more movies.",A: [indecipherable] what is movies?,"[1, 2, 3]"
"Q: So, how long did you work there?",A: Not very long. I work it -- I work it twice.,"[1, 2, 3]"
Q: Okay.,A: What I wanted when I have vacation.,"[1, 2, 3]"
Q: Okay.,"A: And I work it when start the war. I came back home right away, and I temporaryjob, I think, go [indecipherable]","[1, 2, 3]"
Q: Okay.,A: And IJ start the old [indecipherable],"[1, 2, 3]"
"Q: So tell me, did you -- were you already in Lvov on September 1"", 1939? That's",A: So I was in Lvov.,"[1, 2, 3]"
Q: You were in Lvov?,"A: Yeah, well, right away that letter, come immediately, war.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.17Interview with Joseph BachDecember 12, 2015","[1, 2, 3]"
"Q: Okay. Can you remember -- can you tell me how everybody reacted, what was","A: Was very upsetting, what you can't imagine. German are quite potential[indecipherable] and a lot kids, a lot this, right away in the army, in the[indecipherable] different stuff.","[1, 2, 3]"
"Q: Did you want to join the army, or were you going to join the army?","A: No, no.","[1, 2, 3]"
Q: Okay.,"A: They took where they wanted. Polish army prepare the -- yeah, Polish materialfor war. But it's not -- it's not like -- like German. Polish was much smaller country.They can't produce so many soldiers. It's -- it's impossible. [indecipherable] thereare armies now of thousands. Here could be maybe 1,000. It was hard. And don'tforget that German had excellent prepare.","[1, 2, 3]"
Q: Yeah.,"A: This here, Poland against German? It's a poor country.","[1, 2, 3]"
"Q: In comparison yes, very much so.",A: What -- what are even talking about Polish and German.,"[1, 2, 3]"
Q: Yeah.,"A: Okay.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.18Interview with Joseph BachDecember 12, 2015","[1, 2, 3]"
Q: So what about your brother? Was he at -- in Lvov at that time too?,A: Who?,"[1, 2, 3]"
Q: Your -- your younger brother.,A: Now let me think. I don't know remember [indecipherable] something'shappen. My younger brother -- no. He was like absent.,"[1, 2, 3]"
Q: Okay.,"A: He was in somewhere [indecipherable] something. He didn't have him, becausemy situation was different. When I came back from Paris --","[1, 2, 3]"
Q: Okay.,A: -- Thad my job.,"[1, 2, 3]"
"Q: Okay. You had a job, you had the MGM job.",A: MGM job. I was already -- I had been there. Very pretty girls.,"[1, 2, 3]"
Q: That's one of those benefits.,"A: Yeah. So, here -- here were, let's see, girls -- uh-huh, Russian grab Poland.","[1, 2, 3]"
"Q: Tell me how, what happened?",A: What -- how? You put a million soldiers in [indecipherable] you are in[indecipherable] Polish compared to Russia. Are you si-- are you laughing?,"[1, 2, 3]"
"Q: Well, it's -- it's not a laugh that's funny.","A: It's nothing funny.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.19Interview with Joseph BachDecember 12, 2015","[1, 2, 3]"
Q: Yeah.,"A: They are nothing compared to Russia, Poland compared to Russia. So[indecipherable] grab it all, Poland right away.","[1, 2, 3]"
"Q: No, but I'm confused now. Tell me -- you said the Germans were grabbing",A: No.,"[1, 2, 3]"
Q: Okay.,A: German started building up.,"[1, 2, 3]"
Q: Okay.,A: And staying -- staying on the line some [indecipherable],"[1, 2, 3]"
Q: Okay.,A: And the Russian moved in.,"[1, 2, 3]"
Q: And which -- which army took over Lvov?,A: Lvov took am -- Russia,"[1, 2, 3]"
Q: Do you --,A: [indecipherable],"[1, 2, 3]"
"Q: Okay, so that was part of the Russian territory.","A: Right.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.20Interview with Joseph BachDecember 12, 2015","[1, 2, 3]"
"Q: Do you know why it was that they took one part, and the Germans took another","A: They -- they -- go talk to guy, I will get -- ask him, why you taking this?","[1, 2, 3]"
"Q: You're absolutely right, I don't think anybody goes up to them and says, why","A: Shake hand, take this. Wonderful, you know --","[1, 2, 3]"
Q: Yeah.,A: -- that's so wonderful.,"[1, 2, 3]"
Q: Do you remember seeing the Russian soldiers coming in? Do you remember,A: I saw it.,"[1, 2, 3]"
Q: Tell me what you saw.,"A: I saw Russian soldiers, what I saw.","[1, 2, 3]"
Q: How did they look?,A: Huh?,"[1, 2, 3]"
"Q: How did they look? Did they look like they were modernly dressed, with modern","A: They were very well dressed, and they were well having this, you know. Theyprepared themselves for war with Germany. This is it.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.(tm)Interview with Joseph BachDecember 12, 2015","[1, 2, 3]"
Q: Ho-How did they behave with people in Lvov?,"A: Depends. If it's girls, different. Grown-up -- grown-up girls, different. And theywere very, very sharp. They don't trust no one.","[1, 2, 3]"
Q: They didn't trust anybody?,A: No. They were right. But -- Polish don't like Russia. And suddenly I was caught.,"[1, 2, 3]"
Q: Yeah? By whom?,"A: By some inspector, I don't know how you call it. And they ask me, did you[indecipherable] Metro Goldwyn Mayer? No, my -- I wasn't at Metro GoldwynMayer. Another one, I forgot. So I think yes.","[1, 2, 3]"
Q: So they asked you if you had worked at these places? At Metro Golden Mayer?,"A: Yeah, yeah.","[1, 2, 3]"
Q: And you said you did.,A: Yeah. What I [indecipherable] what I have to hide?,"[1, 2, 3]"
Q: Yeah.,"A: Yeah, so he telled, you are an American spy. I almost fall from the chair. Tellme, why you think this way. Because American, and their working people used touse for political stuff. I do --","[1, 2, 3]"
Q: Had you ever met an American?,"A: No. No [indecipherable] agent for, they came from -- from America about themovies. | told that he is crazy, or that I am crazy. Somehow you -- he told to me,you may go home. I went home.","[1, 2, 3]"
Q: Okay.,"A: The same night came a agent with a -- with a-- some gendarme, some kind. Hetell me, you are American spy. My father got red like - Mommy almost fainted.","[1, 2, 3]"
Q: Yeah.,"A: And I was looking [indecipherable] crazy. But up there is no crazy. When hetells, you are.","[1, 2, 3]"
Q: Doesn't matter if that's not the truth.,"A: No, forget the baloney talking [indecipherable] he told you --","[1, 2, 3]"
"Q: Truth. Yeah, okay.","A: -- that's all. And he's right, not you. So I moved --- my mommy almost fainted[indecipherable] can't imagine. So I work -- I went with the guy. Four hundredpeople.","[1, 2, 3]"
Q: What -- who were these people?,"A: Very nice people. A rabbi was up there too, and was very nice people, director[indecipherable] directors [indecipherable] the higher of the richer class, how doyou want.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.23Interview with Joseph BachDecember 12, 2015","[1, 2, 3]"
"Q: Okay. So in Soviet terms, it could be class enemies.",A: Yeah. So right away march north.,"[1, 2, 3]"
Q: By foot.,A: By foot.,"[1, 2, 3]"
Q: Okay.,A: We went to the place where the oldest -- what -- what you use?,"[1, 2, 3]"
Q: For what?,A: For -- for travel.,"[1, 2, 3]"
Q: Trains?,"A: Trains, ah, there were trains. Loading trains.","[1, 2, 3]"
"Q: What kind of gr -- what kind of trains, were they passenger trains?","A: Who cares? Some buses, or some not, it's a transportation, that's all.","[1, 2, 3]"
Q: Okay.,"A: You got the piece of bread and davay payoma(ph), and we started going north.","[1, 2, 3]"
"Q: So tell me, what does davay and payejom(ph) mean?",A: What?,"[1, 2, 3]"
Q: What do davay and payejom(ph) mean?,A: Let's go.,"[1, 2, 3]"
Q: Okay. Okay. Those are Russian words.,A: Right.,"[1, 2, 3]"
Q: Okay.,"A: And we went up there, maybe three days, four days.","[1, 2, 3]"
Q: By train.,"A: By train, right.","[1, 2, 3]"
Q: Okay.,A: Later we took a little by cars.,"[1, 2, 3]"
"Q: Where in the car -- in the train that you were in, were there whole families in","A: No, no fam -- no families, only men.","[1, 2, 3]"
Q: Only men.,A: No~no families.,"[1, 2, 3]"
Q: Okay.,"A: Yeah. And we went around 3,000 miles.","[1, 2, 3]"
Q: That's a lot.,"A: A lot, it's not a lot, depends how you look. It's very cold up there, and it's --","[1, 2, 3]"
"Q: Did anyone tell you where you were going, or why you were going?","A: Don't be funny. Tell me. Who I am, I am nothing. Tell me. I live -- they give youfood a little. You have where to sleep, that's all.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.25Interview with Joseph BachDecember 12, 2015","[1, 2, 3]"
Q: Did you have someplace to sleep in that cattle car -- in that -- in that train? Do,"A: Yes, yes.","[1, 2, 3]"
Q: Yes?,A: You lay on the floor and you sleep.,"[1, 2, 3]"
Q: Okay.,"A: So. That's a-- such a naive. So --so we --I were up there, I got up there, it's verycold in this [indecipherable]","[1, 2, 3]"
Q: Okay.,A: And I was three years up there.,"[1, 2, 3]"
"Q: Where were you, where did they bring you?",A: They have such a big -- I don't know how to call it. Big. There were -- peoplewere sleeping by hundreds.,"[1, 2, 3]"
"Q: Was it like a labor camp, or work camp?","A: A work camp, I don't know --","[1, 2, 3]"
Q: It was a work camp.,"A: Work camp, right.","[1, 2, 3]"
Q: Now the Russian word could be gulag. Was it a gulag?,"A: It was a gulag, too.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.76Interview with Joseph BachDecember 12, 2015","[1, 2, 3]"
Q: Okay.,"A: So, up there I was three years. Later they starting letting out slow, people.","[1, 2, 3]"
Q: But let me -- I want to stay with these three years. So they | -- they bring you to,"A: Well, what do you think of -- you do?","[1, 2, 3]"
Q: Okay.,A: They were -- they -- I will ask you what you do. Oh boy. So they -- after threeyears they let you slowly out --,"[1, 2, 3]"
"Q: But -- Matthew, I'm -- I need -- I'd like to -- I'd really like to find out what","A: They gave me work in the -- something, repairing something, building something. What's the point? You're only tool, you know, you're not j -- M: How -- how many were -- were there -- how many people were there with you?","[1, 2, 3]"
"Q: But -- Matthew, I'm -- I need -- I'd like to -- I'd really like to find out what","A: Three thousand, two thousand.","[1, 2, 3]"
Q: Were they all from Poland?,"A: Most of them. But it's funny thing, a lot of Jews.","[1, 2, 3]"
Q: A lot of Jews?,"A: Right. And I was there -- there final, this is the -- slowly they started letting out.You understand, there are sit -- 3,000, you're exhausted, and there's nothing morethey want to do, so slowly there that you're old. You still are -- are alive. You stillare alive. Your first thing, go home, right? So you schlepping home through Asia.","[1, 2, 3]"
Q: Through Asia.,"A: Yeah. So getting [indecipherable] and after different performances, you arehome.","[1, 2, 3]"
Q: Okay.,"A: They have music. La-Laborer, so you're only part of labor. What your --","[1, 2, 3]"
Q: Did a lot of people die there?,A: Enough.,"[1, 2, 3]"
Q: Enough. And what did they usually die of?,"A: I don't know, they get different sickening [indecipherable] infection and this,that.","[1, 2, 3]"
Q: Were you hungry while you were there?,A: You were once in any labor?,"[1, 2, 3]"
Q: Never.,"A: So there hunger -- a guy who works by hand is always hungry. But this is notimportant, they don't kill you. You're hungry, so -- I will tell you why I am tellingyou this.","[1, 2, 3]"
Q: Tell me.,"A: So I came back home after big, big ba-bom-ba-boom, I'm home. Now is[indecipherable] came to my house. Janitor [indecipherable] house, mister, yourwhole wife is killed, o-or -- all the people of your family is killed. Which mean[indecipherable] they came here, and they killed them. Why? They're Jews. Theydon't like Jews. I was [indecipherable] when I heard the news, I didn't know whatto do. Go to my brother house, they're all killed, even the small kid who was two --two years, are killed. So I was looking. I did make a better bargain than there.Nobody's killing me out there. I didn't eat so much, I can survive. But here wasmurder.","[1, 2, 3]"
Q: Yeah.,A: Iwas -- my wife -- my wife -- my mother.,"[1, 2, 3]"
Q: You were married by then?,"A: No, my mother, I-- you know mother, your mother.M: Yeah, he means his mother.","[1, 2, 3]"
"Q: He means his mother. Q: Okay, okay.",A: So -- so --so I went to my mother. My mother --,"[1, 2, 3]"
Q: Yeah.,A: -- was suicide.,"[1, 2, 3]"
Q: Oh dear.,"A: So she has a very good friend, Polish woman. She came to me, Joe, I will tellyou why your mother suicide.","[1, 2, 3]"
Q: Okay.,"A: Why. They have it a big public houses. The soldier can go and have sex howmany times he wants. So this kind of women are dying very fast. So your mother[indecipherable] suicide. This was -- that was the end of the story. Coming down --and then I went right away to Polish army, and I was in Polish army three years.","[1, 2, 3]"
"Q: So can you explain to me, because there were many Polish armies. There was the","A: You talk about he -- historics, you don't take about this now. You talk about whoit was once. And here is -- was not Polish army. Was one Polish army under thedirection English, you know.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.30Interview with Joseph BachDecember 12, 2015","[1, 2, 3]"
"Q: Oh yeah, that was General Anders army. Under the English direction was",A: You talk about different sha -- time.,"[1, 2, 3]"
Q: Okay.,A: So-- so -- and --,"[1, 2, 3]"
Q: You joined.,"A: --I went. For three years I was in army, and was in Berlin, and they tell megoodbye Charlie, go home. So I went home. I went to Polish movies. Atmospherewas stinking. You couldn't go around. I didn't feel like natural. I see like the eyesare different, it is look at me like -- like a something what I sha -- what I shouldn'tbe in Poland.","[1, 2, 3]"
Q: Cause you were Jewish?,A: Yeah.,"[1, 2, 3]"
Q: Okay.,"A: Because I don't belong here. I'm a -- I'm -- Germans -- German so long, that theyimpressed the Polish, Jewish are this, are that, are something, not -- so it wasn't that--so you -- suddenly you see lots of Jewish in America. Simply they run away, was--1s no place to live.","[1, 2, 3]"
Q: Yeah.,A: So---,"[1, 2, 3]"
Q: Where did you go?,"A: When did I go? I was in -- no, I was in the army.","[1, 2, 3]"
Q: You were in ar -- tell me about army.,A: Yeah.,"[1, 2, 3]"
Q: Tell me about those three years in the army.,A: [indecipherable] what you doing in the army.,"[1, 2, 3]"
Q: Where were you fighting?,"A: Oh, straight from ac -- the line of the Lvov, straight to Berlin.","[1, 2, 3]"
"Q: So, through Poland.","A: Sure. I wa -- what else to be? Okay, c'est la vie, this is it.","[1, 2, 3]"
Q: Wa -- were you a soldier? What was your job in the army?,A: Killing.,"[1, 2, 3]"
"Q: Yes, of course. But --","A: So it's nothing pleasant and nothing nice. I was a deadly enemy of German,that's all. And it was -- means nothing to talk, should he give in, should she give up,I don't care. I'm getting the dessert. So the [indecipherable] the war, you shouldknow. So [indecipherable] later, I started what I started. I don't unders -- I -- I wentto Polish film, was not a friend [indecipherable] The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.32Interview with Joseph BachDecember 12, 2015","[1, 2, 3]"
Q: Then what did you do?,"A: But going to Polish film, I looked up the film. I go look it up. I saw a coupleJews who [indecipherable] Christian and they're living up there.","[1, 2, 3]"
"Q: Ah, they were passing as Christians?",A: Yeah.,"[1, 2, 3]"
Q: Okay. Was this back in Lvov?,A: Yeah.,"[1, 2, 3]"
Q: Okay.,"A: Later I--I push [indecipherable] it was the other name, I forgot. So this[indecipherable] and then [indecipherable] one place where people who wants togo and for a doctor, come together. They put their name, and this guy decidedwhere you will go. You can go -- you -- they send you to America, they send you toChile. They send you where you want, where you don't want.","[1, 2, 3]"
"Q: Were you still in Poland when you were -- you know, when you started to make",A: What I was?,"[1, 2, 3]"
"Q: Were you still in Lvov, had you already moved out of Lvov? Where were you","A: I was not in Lvov, it was a different, other country. What's the difference?The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.=Interview with Joseph BachDecember 12, 2015","[1, 2, 3]"
