num,question,answer
25,"Mm-hm. Do you think he put them there in case something happened, so there would be money --","Yes, yes."
26,-- that -- that -- and he told you that?,"He t-took all of us, my brother, and my s -- my mother, and myself, and my dad, and we went downs -- upstairs in the attic, he took a brick, and put it in."
27,Mm. Hm. And that ha -- was --,It was in --
28,You had been gone for four years? Something like that? I think you said you were 11 when --,"When the war start I was 11. I had a birthday in July, so I was 11 years, because the war started the first of September, 39 years -- nine -- 1939, I was 11."
29,So that had been f -- almost five years before.,"No, it was more than five years."
30,"No, when you came back.","Yes, it was five years."
31,Five years.,Because I came in 1945.
32,Yeah. USHMM Archives RG-50.549.02*0071 °,Four -- three or four weeks after the war --
33,Right.,Yes.
34,Ended. And --,"And I took my girlfriend with me, she was from Chernoff, she’s in Israel now."
35,"And that lady, how did she get your apartment?","She did -- she didn’t -- I don’t know. They took everything. They took everything. Because from when the war started, wh-when the German came to Poland, we were sent - they send us to a ghetto, to Shilladula."
36,Right.,"And there I was two years, I think, with mine parents. No, not quite two years, less than two years. Because in -- when they -- when -- I remember we still have the factory, and we still have the restaurant. When they took the factory away, my father had to work for them."
37,The Germans?,"Yes, yeah. Oh."
38,Still making candy?,"They were making candies and other things too [indecipherable]. Oh, I remember things [indecipherable] beating mine father."
39,Yeah. USHMM Archives RG-50.549.02*0071 °,"I came to the restaurant, and the police was -- it’s ow -- 1t’s owl -- the police -- it was - they wouldn’t -- they were dress not in uniforms, they were just dressed like people dress on the street, they were detectives."
40,Uh-huh.,"And you know, I try -- I run to mine father, and I embrace him. [phone ringing]. Oh Gods. So I just embraced mine father, and I starts talking, and I start -- I spoke German, so I knew all the -- fe-few words. So they said to me [speaks German]. So, they’re gonna- we’re not gonna hurt your fa -- pap -- your father -- your dad any more. I -- that’s just came back to me."
41,Just now?,Just now.
42,Hm.,I think it’s important to know those things.
43,Yeah.,"Yeah. My wonderful father. Boy, he all -- he was so wonderful, I have to tell you this. Mine father always sing to me. My brother [indecipherable] he would sing beautiful. He was a wonderful, wonderful, thorough hands -- very wonderful guy. I adored him. I [indecipherable] my mother too, but my father -- even in ghetto -- can I tell you this?"
44,Sure.,"We had -- people didn’t have that -- three, four families live in one room, he was singing for me. I remember when I was a little kid -- USHMM Archives RG-50.549.02*0071 """
45,Excuse me.,-- but what -- excuse me.
46,You have to be careful --,"Oh, yeah, yeah."
47,"-- not to touch this, cause itll make a lot of --","When I was a little child, when he wa -- when I’Il fall asleep, he was stay [indecipherable] home, and I remember -- cause I still remember. And these are my memories that took me through everything. And I think -- I was always home, even in concentration camp, when I was beaten, and hurt, I was home with mine parents. And I don’t know anything about psychology, but I knew -- I knew that it made me good -- feel good."
48,Mm-hm. Just to be thinking about them.,Yeah.
49,Yeah. So you went back to your hometown.,"I went back to Poland, and I stayed through two weeks, two or three weeks, I went with mine girlfriend. Somehow we made it, we came -- I’m not going to call 1t home, we went to Poland back. And I said this is not for me."
50,A lot of anti-Semitism still.,"Yes, but I told you, I didn’t -- it was, but I didn’t -- not to me. Maybe because -- I don’t know. But it was a lot. And we went back to Germany, to -- to Waldenburg, and somehow from Waldenburg we went to Czechoslovakia somehow. I don’t remember how Contact reference@ushmm.org for further information about tis collection USHMM Archives RG-50.549.02*0071 "" we did it. She was older than I am, I think. She had something to do with it, and I helped. And from Czechoslovakia, we went with a little transports, we went to Landsberg, but I still don’t remember how we could g -- how we could go from Czechoslovakia to Landsberg. Now we went to Germany, to Waldenburg, I don’t know how they call it now, and from there we were with a -- with a few people someplace else, and --"
51,Was Waldenburg a DP camp?,"No, no, no."
52,No. Just a town.,Just a town.
53,"Uh-huh, uh-huh. So you --","Because from Landsberg, it -- from -- I was -- I was in three concentration camps, Ludwigs -- no, Gintabruk, Klettendorf, and Ludwigof. From Ludwigsof I went to Waldenburg with three girlfriends who took care of me, because I was very sick then, too."
54,Yeah.,But this 1s -- I’m here.
55,By the time you go to Landsberg --,Mm-hm.
56,-- how were you feeling physically? Were you better?,"No, I -- I -- I ki -- I -- I still, you know, didn’t feel right, but I didn’t want to be in Poland. I don’t -- don’t ask me why, I just didn’t want to be there. I didn’t see any future. Contact reference@ushmm org for further information about this collection USHMM Archives RG-50.549.02*0071 * And you know, I was a child, I don’t know why things came to my mind. I just left. I didn’t even tell mine cousins. Mine cousin [indecipherable] wrote in that -- I cannot -- I cannot live there any more."
57,Mm-hm.,The memories --
58,"Too hard, yeah.",Too much.
59,Yeah. So you went to Landsberg --,I roo --
60,What did you think was going to be at Landsberg? What -- what -- why did you go there?,"As Is -- as I said, it’s a DP -- somebody told me -- I -- I didn’t think about anything, I- I said I’m just going. And I knew that they had DP camps. So somebody says I have a DP camp. I went with the English people. They took us with them. And I don’t know where they let us go, in which city, I don’t remember any more. Somehow we came to Landsberg, came to the DP camp. We went to the euro --"
61,What is that?,"-- and that -- euro -- I forgot how they call -- what [indecipherable] they helped us, they helped us a lot."
62,"Uh-huh, uh-huh.","And we got a little -- we could go get something to eat, and they send us to work, whatever we -- I mean, I didn’t -- I didn’t -- I wasn’t -- I didn’t have any skill, I didn’t know anything, but I knew how to needlepoint, yeah, and crochet. So I was doing thi -- that we had always people who were taking care, showing us that -- what to do."
63,So you were making --,Yeah.
64,"Clothes, or --","No, little clothes, we send it for -- to Israel for the children."
65,Uh-huh.,Yeah.
66,"And what -- when you were -- when you first came there, you were with your girlfriend, and they gave you a place to stay.","Yeah, we stayed together."
67,"And clothing they gave you. Do you di -- you had nothing with you, right?","We just -- we -- we didn’t have -- we didn’t have anything, this what we just had to wear. We had one dress. When I was 1n house, she was that -- wearing the dress. When I went out, I'll put the dress, and the shoes, too. We had cotton in the shoes because some were too big for us."
68,"And do you remember very much about what the conditions were like? Was it -- was it -- USHMM Archives RG-50.549.02*0071 ""","It was barracks als -- the barracks -- the soldiers were there, and later whens I -- whens I took the -- the German went -- the Jewish things -- I forgot how they called themself. See, he can tell you more, he was a policeman in the DP camp. And you know how I met mine husband."
69,"Yeah, I heard that story.",With the -- with the crik -- with the Greek.
70,Right.,Yeah.
71,You want to tell me that story?,And it -- and it’s hard.
72,So you were there -- this is in the summer of 1945.,"Yeah, yeah. Yeah."
73,"And -- and you were -- had a little work to do, and --","Yeah, yeah, yes, yes."
74,"-- and a place to stay, and --","And we had a little room, and I remember that my husband check. He came, and you know, and he came every day to see me."
75,This was after the incident with the certain man --,"With the Greek, with the Greek, yeah."
76,-- who wanted to marry you. USHMM Archives RG-50.549.02*0071 a,"You know, he put a knife on the table, and I said, I don’t know you, and I don’t want to get murdered. I have other things that I have, go to school. And somebody called the police, and my husband came in, and from this time he was coming every day. And I loved him because he was different than other people, you know? And three months later I marry him."
77,"You were a beautiful young girl, did you have a lot of boyfriends?","I had a friend from Holland, he was not Jewish, he was a me -- he even -- even came to America to see us, met my husband. He was in concentration camp, and I met him there. I couldn’t speak -- he learns how to speak Polish, very intelligent. You know, it’s [indecipherable] I went to college in Holland, and I had Jewish professors. And the German told them to boycott the professors, and they didn’t want to. So, for the punishment they send them to Sfinesarbatelager. And I was working with him."
78,What was his name?,"Gayliss Kahn, from Holland delv. He send me papers to come, but I didn’t. So -- but he came to us, to see us, here in America. Lovely man, but he passed away, too. So."
79,So you started -- was this pretty soon after you came there that you met your husband?,"Right away, maybe few days --"
80,Right away.,-- maybe two days later.
81,Hm. USHMM Archives RG-50.549.02*0071 re,"So I wasn’t by mineself, I have somebody there who was looking out for me, which was very important, very important."
82,I bet.,"Because some people had brothers and sisters, I was with mine girlfriend. And mine girlfriend -- later when the Americans -- when the Americans were there, she met somebody, and when he went home, he sent for her. But she didn’t marry him either. He called -- he called -- her name was Regina Urtell. Forgot was -- was that name from home. And he send for her, and I was -- I met my husband then."
83,"So, did -- did he want to get married right away? Did you both decide immediately to get married?",We got married three months later.
84,Yeah. And what was -- tell me about your wedding.,"My wedding. People were cooking, people were baking. People brought liquor from Germany. Somebody gave me a wedding dress, and somebody send me to a mikvah. I didn’t know what -- do you know what that is? You jus -- they put you like -- does -- it doesn’t even matter. I didn’t know it -- I didn’t know how to behave. Didn’t know what it was. I didn’t know -- I didn’t know many things. I was just, you know --"
85,"16, yeah.","After the war, but I was a little ki -- a young kiddif when the war start. How would I know those things?"
86,"Mm-hm. USHMM Archives RG-50.549.02*0071 ""","The wedding was very nice. People were playing music. Good, bad, it was beautiful. I bring you the picture and show it to you if you want to see."
87,Sure.,Okay.
88,"Okay, now tell me what we’re looking at here.","This is mine husband, and this myself. I chain --"
89,Everybody looks pretty happy there.,"Sure. And this is -- this was mine cousin, this was mine girlfriend, and this 1s some Greek -- this was a movie star, but I forgot her name. Some Greeks."
90,Uh-huh.,Very nice people. I don’t know what’s happened to them now.
91,Yeah. You -- it must have been one of the first weddings in the --,"Yes, yes, yes."
92,-- in the concentration camp.,[indecipherable |
93,So I bet it was an occasion for everybody --,"Oh, sure, it was a --"
94,-- because that was such a happy --,"-- everybody came to the -- I didn’t en -- send any invitations, but everybody came to the wedding, the whole camp. Thousand people. Thousand a -- because you know. But that’s [indecipherable]. This was mine brother. Contact reference@ushmm.org for further information about tis collection USHMM Archives RG-50.549.02*0071 a"
95,Oh.,"And this is -- was his friend who was with us when the war start, because they took his parents. He went with mine father, and the parents came back. And this was myself [indecipherable |"
96,And how old were you in that picture?,"I have no idea, maybe -- more than 12 years, maybe 12 years, maybe less, I don’t have any idea."
97,"Uh-huh, uh-huh. You looked happy.",I was happy. I had a wonderful childhood.
98,Yeah.,Very happy childhood.
99,"So you’re -- so here you are in this DP camp, you’re 16 years old and you’re married to somebody you’ve known for three months.",Yeah.
100,It’s pretty --,But I knew him very well.
101,You felt immediately connected to him.,"Yes, yes."
102,Yeah.,"And we are still married, and very happy."
103,Yeah. And you had a child in the DP camp. Contact reference@ushmm.org for further information about tis collection USHMM Archives RG-50.549.02*0071 ”,"Yeah, Joseph was born in -- a year later, in December, December the 12, 1946."
104,Mm-hm.,Yeah.
105,"And what was that like, having a child there?",Like a doll baby to me.
106,"Yeah, yeah, you were happy?",He was -- very happy.
107,"Yeah. It must have been quite an event for other people, too --","Yes, every -- ever --"
108,"-- that when life was coming back, and --","And do you know, when I came to deep -- to the DP-P camp, many people knew me when I was a little child, yes."
109,There were people there from your town?,"Yeah, yeah."
110,"Huh, huh.","You know, because will -- we’re own business and so we’re bringing different kind of products, and they knew me when I was a little kid."
111,People that maybe you didn’t even know.,No.
112,Right.,It wa -- yeah. Contact reference@ushmm.org for further information about tis collection USHMM Archives RG-50.549.02*0071
113,"When -- when you -- when you had your baby, there was a hospital there in the camp?","Was a hospital there, yes."
114,And what -- and was it --,"And they had doctors there, too."
115,"And it was good, I mean everything was -- they had everything they needed?","They were sending people to another hospital, and mine husband was not there because he was -- they send him to a school someplace. And I -- I was in labor and my neighbor took me to the doctor, and to the hospital, and they had to help me."
116,Because he was gone?,"No, no, no, because it was quick."
117,"Oh, really?",Yes.
118,Uh-huh.,Yeah.
119,"Wh-What was that like for you to have a child so young? You hadn’t -- I mean, you were -- you hadn’t been around --",I -- I was -- I was delighted --
120,Yeah.,"-- that I have something mine, I’m gonna love it. I did. I kep -- I even de -- I don’t know, I didn’t think things like that. I was delighted. Who wouldn’t be?"
121,Yeah.,"And I name -- I named him after mine father, and mine husband’s father, Joseph Michael Brodetsk1."
122,Mm-hm.,Yeah.
123,"An-and -- and where -- did you have a different place to live then, when you got married, they gave you a different place?","No, we had -- we had that -- all we had, one nice room."
124,Mm-hm.,"Yeah, later we had a room, and a kitchen. And you put a glass of water, when the time when got -- got -- get up in the morning, you had ice. But it was fine, I was -- I wasn’t by myself. I had a family, a wonderful family."
125,And th -- and --,"It was not too easy, but it was okay."
126,Yeah.,Because I have -- I knew -- I was hoping for the best for the future.
127,"And what were your dreams for the future at that time, what did you want? Or did you think you had what you wanted? I mean, you couldn’t stay there, obviously.","No, we were -- we -- we -- see, he took care of it, but we -- I think zise -- they sign you for America, for is -- you know, and we did, we had --"
128,You signed up to go to America.,"They sign to come to America, but I have to tell you something about America. When I was 10 years old, I had a friend who was 17, her name was Marisha Messear. Sh -- you know, I loved her so much, she was like mine -- I looked up to her, she was like mine -- you have a word for it, like -- oh gee, I don’t know what I’m gonna do. How can I forget a word like that? It’s gonna come back to me. And one day she -- I knew that she has family in America, because she was always telling me about America, always. And one day -- and you know, I was very delighted, because I did -- I didn’t know much. You know, I was a kid then, too. So she calls me one day, and she said, “Let me ta -- show you what mine auntie send me from America.” I said, “I’m coming right away.” And she got those curlers, eye curlers."
129,Curlers,Curlers for the --
130,For eyelashes.,"Eyelashes, yes. She said cur-curlers, eyelashes, yes. And she was telling me that her cousins are going to college, and in America is a life. And you can go to dancing schools."
131,That’s what you wanted.,"You can -- you can do whatever you want to, cause your parents can work, and make a good li -- she was telling me wonderful things. So I came home to my mother, and I ask her the [indecipherable]. Now she said USA, later she said America. I said, ““What’s America?” So she was telling me all the good -- good things about America, which they USHMM Archives RG-50.549.02*0071 s are, believe you me, she was telling the honest truth. So I went home to my mother, and I said, “Mama, I want to go to America.” She just -- she said, “Who di -- where did you get the idea to go to America?” I said, “I just came from Marisha and she was telling me what she always tells me,” for years, but tac -- I didn’t -- it didn’t go in mine head. I couldn’t understand. I said, “Do you -- do we know somebody, do you have a family in America.” So my mother said, “I don’t know, I’m going to have to check it.” And I always remember that I was battling for a long time with America. But later the war came, but I’m here."
132,Yes.,And I was dreaming about it.
133,So you had that idea in your head all that time.,"Yes, I was dreaming about to come to this -- when I was just a kid, and I didn’t know anything about America. I knew that somebody said to me in America you walk on the street and pick up gold. Okay. When you healthy, happy, you pick up gold, believe you me. It’s hard when you come, but you make it easy. I believed I was very determined that everything is going to be fine, and it is, thank God for it."
134,"Mm-hm, so you -- when did you come to --",We came to America --
135,-- how did you -- and how did you come?,"-- September the 10"" or the 11"", 1949, we came by plane."
136,"Oh, you were quite a few years in -- were you all that time in Landsberg? Contact reference@ushmm.org for further information about tis collection USHMM Archives RG-50.549.02*0071 “",Yes.
137,"Seven, eight years?",Yes. From a -- from 1940 --
138,"Oh, I’m sorry, *45.",From ’45 to -- for -- four years --
139,Four years.,My son was born in Germany.
140,Right.,I think he was two and seven -- two years and seven months when I brought him here.
141,Mm-hm.,"And when I went to the hospital, somebody took him. And when he came home, he spoke ch -- English, and I couldn’t understand"
142,What do -- where -- in which hospital?,Here in Richmond.
143,"Oh, to have your other baby.","When I -- my -- my Maria, yes."
144,"Uh-huh. How did you come to the U.S., on a boat?","No, by plane."
145,Really?,By plane.
146,"From where, do you remember? Contact reference@ushmm.org for further information about tis collection USHMM Archives RG-50.549.02*0071 °",I think it’s from Landsberg.
147,From Germany?,"From Germany, yes, but I don’t know from which city. I don’t remember."
148,And how di -- how was it that you happened to come to Richmond?,My husband got a contract. He got a job in Richmond.
149,Uh-huh.,So because we didn’t have any family --
150,Uh-huh.,"I think other people were lucky, had somebody, we didn’t."
151,Uh-huh.,"So when we came here, it was a little bit hard, but it -- we d -- we done it."
152,How did you -- how did you get a place to live?,"They had everything -- they had everything for us prepared. We were living downtown, my husband got a job. And, I think radio technician before -- he’s a -- he’s in electronics, but he was a radio -- End of Tape One Side A Beginning Tape One, Side B"
153,"-- a continuation of a United States Holocaust Memorial Museum interview with Sonia Brodecki. This is tape number one, side two. You got an apartment --",[indecipherable |
154,You met people from all over. Contact reference@ushmm.org for further information about tis collection USHMM Archives RG-50.549.02*0071 °,"From all over, from all over the world. And we will, you know, when you have children, and we watch somebody else’s kids, we had to, because we didn’t have money to have a babysitter."
155,"And you didn’t speak English yet, or did you?","Well, just a few words I learned, you know. Eve -- even -- if I -- that’s what I didn’t speak to people if y -- if I met person, I just -- I showed them how I felt about them, because I couldn’t express myself."
156,Mm-hm. So you were s -- you were at home with your little boy?,I was home with my little boy.
157,"And you were pregnant, cause you had a ba -- another baby.",Maria was born a month after we came to America.
158,Uh-huh.,Yeah. So I had two children.
159,Uh-huh. And the -- and then pretty soon your little boy went to school?,He went to a ki -- to kindergarten.
160,Uh-huh.,"Yeah, and he -- he came home, he spoke English, and I learned from him, and I was listening to the radio, and I was re -- 1 --"
161,He just picked it up in school? He just picked it up?,"Yeah, oh yeah."
162,Yeah. Contact reference@ushmm.org for further information about tis collection,"You know how children are, jus -- kid -- kids pick up quickly everything. And they -- I started read -- I couldn’t read what I was reading, whatever, good, bad. So I asked people t -- neighbors who were from here to correct me, and they did. And I still do it. Please correct me. I up -- you know."
163,So you taught yourself English?,Yes.
164,You didn’t go to any kind of school to learn.,"No. Mine English was better when the kids were home. Now I speak Polish with my husband because we can understand each other very well -- better. But speak English, too."
165,"So, how was Richmond for you? Did you like it here? Were you lonely?","I was very lonely, but I -- I li -- I would love wherever I would go. I was free. I remember the first time I went to a shop to -- to -- to -- with my husband to a store, I saw little children, I saw all the people. It was wonderful. I couldn’t believe my eyes what I saw everything. You know, what’s -- to some people maybe this wa -- to me it meant -- every little thing was wonderful to me. Whatever I saw, I was happy, I was impress with everything. People I -- every person I met smiled to you, was kind, and this was the most important. And tol -- you know -- I don’t know, but I think when we came to this country, we brought a lot of tolerance with us."
166,You did?,"Everybody, all the survivors, I think."
167,Tolerance.,"Yeah. And kindness. Even if sa -- even now whens -- you know, this 1s the most important, to be kind. Hm?"
168,Yeah. Were there other survivors that came with you?,"Just -- wi -- not with me, they came a few months before, few months later, and we -- we stayed together for a little bit, because, you know, we didn’t have anybody. Yeah, we- later we were invited to the -- to join the new American club, Jewish American cl -- new American club. The German people who came before us make the club, and they invited us. So we belong someplace."
169,Mm-hm.,Yeah.
170,"Were any of those other survivors from Poland, too?","Yes, yes, yes."
171,So you had somebody to speak with.,Yeah.
172,I bet that was nice.,But I -- I want to speak English.
173,Yeah.,"So I ask -- I wrote it -- I wri -- see, at the shop I have everything a -- I was writing things on papers, even if I could not ask people to write for me, you know, if I like something from a book I wrote it down, and I was reading and studying it. Contact reference@ushmm.org for further information about tis collection USHMM Archives RG-50.549.02*0071 ”"
174,"Mm-hm, mm-hm.","I had everything in the kitchen written down, thank you --"
175,Really?,"I had to, I had to."
176,You made little signs for yourself?,"Yes, I had to. My husband learned English quicker than I am, because he was working with people. But I did, too. I was not embarrass, I was not -- it didn’t feel -- you know, nobody was condescending me. They were listening to me. So I repeat, and repeat until it came out right. People were very kind."
177,"Great, yeah.","The first time when I went shopping, I have to tell you, was a market. I was waiting for the guy to give me something, so whatever he gave it to me, I brought it back to him, I said, “No good, no good,” because -- so he said, “You pick up yourself.” And I couldn’t understand what he was telling me, so he took mine hand and said pick, and put it, there is, you know, and that’s how I learned."
178,Uh-huh.,"And later I be -- wa -- became friends with very nice people, and I just spoke English to, and that’s how I picked up. And I had another German girlfriend from here who spoke beautiful English, and she said, “Sonia, I’m gonna help you.” And that’s, you know, it helped me t -- every little bit helped. USHMM Archives RG-50.549.02*0071 *"
179,"Mm-hm. You obviously learned, probably from your parents, to have an open mind, and an open heart.",Yes.
180,Because you were not mistrustful.,"No, I -- I -- I’m still trustful. I give everybody the benefit of the doubt. That’s how you say it? Unti -- but people are nice to me, very nice to me. Knock -- knock on wood."
181,"But considering what -- those four years, what you went through --",Yes.
182,-- it would not be surprising if you had become some other way.,"I -- some people -- I t -- I -- I -- I could no -- I --I don’t have the nature. I -- I don’t think -- I don’t know. Even when I was in concentration camp, some people were nice to me. They even -- I tr -- you know, that I was step dancing. When I was in Landsberg in the kid’s concentration camp, I wa -- I couldn’t eat, I couldn’t sleep, I want to go ho -- to mine parents. I couldn’t -- I couldn’t. And two girl -- my mother has two girlfriends who were in concentration camp with me, too. So you can imagine I always run to them for them to tell me something about my mother. And whenever they were talking about it, they light up. They were -- because I -- she was -- she was wonderful. And -- and -- so I said to myself, what can I do? My -- my -- my mother always said to me, “You have to live. You have to live. You have to do everything to live.” So I remember I said, I don’t have any profession, I don’t know anything, no skill, but I know how to dance and sing. And I was singing, and s-singing to me -- and -- and nobody saw me, you know. And USHMM Archives RG-50.549.02*0071 * everybody was think that I lost my mind, because if they would catch me, I would get some beating. And that’s how it start, and you know, it -- 1t went -- when you sing, when you happy, it -- forgot the word -- it reflects on other people, yes? And everybody starts. We had -- ha -- very bad time, it was horrible for us, although --"
183,And you were singing --,Yeah.
184,-- for people in the camp.,"Yeah, yeah. And other people are singing too, because they knew how to sing. And we si -- we form a little group, so every -- when everyone had -- we had a little time, we were singing and tap dancing for them. Even when I went to the holox -- Holocaust reunion, were people there who remembered those things."
185,Really?,"And I was talking to a lady, and I look at her, and I talk to her, and she told me her name, and I didn’t know who she was. And I told her my name, she kissed me and I kissed her back, but I didn’t -- later when she said she was in the same concentration camp I was -- you know, it’s so many years, you don’t want to -- you -- you -- you don’t want to remember all those bad things, but that -- it stays -- sticks with you."
186,Sure.,"People said and -- it will go away. It doesn’t go away. When it’s good, we remember. When our baby’s born, we remember. When I go to the cemetery sometimes, you know, because I sometimes do, put some flowers, I remember. Contact reference@ushmm.org for further information about tis collection USHMM Archives RG-50.549.02*0071 *"
187,"When you -- when you were in Landsberg, and then when you came to the United States, were you looking for relatives during that time, and -- and --","I knew that I don’t have anybody. My husband didn’t want to look for anybody, because he said -- people were telling us, they are going to think that you want money from them. But my husband had some relatives, I don’t know where."
188,But you -- you knew that nobody had survived in your family?,"No, I knew. Because when I was in Poland, I was looking, too. I went to Krakow, through the rad -- on the rad -- I [indecipherable] through the radio, couldn’t find anybody. Yeah."
189,What about -- you showed me the photograph --,Yeah.
190,-- that you received --,"From Israel, from mine uncle."
191,An uncle?,"When he was alive, yes, he send me --"
192,So when did you find out about him?,"Oh, I knew that he is in Israel. When I was a little child, I knew."
193,"Oh, he had lived there before the war?","He was living there before, yes, with his family."
194,"Oh, I see.","And they came to America to see us, too, but -- USHMM Archives RG-50.549.02*0071 *"
195,Uh-huh. How is he related to you?,"My mother’s brother -- the younger -- the baby, the youngest brother."
196,Uh-huh.,"Yeah, but he passed away, his wife passed away, but I have a cousin."
197,"Uh-huh. So you had no temptation to go to Israel and live there because of your uncle, when you had a choice?",You know mine dream.
198,Yeah.,When I was a little child.
199,"Mm-hm. So when you came here then, were you in touch with your uncle then, were you --","Not right away, not right away."
