num,question,answer
12,"They didn’t show it. Do you remember experiencing anything in -- when you were a child, of- of -- of some anti-Semit-Semitic behavior?","Yeah, yeah, when Hitler came, I went to school, and the teacher said, you are Jew, and you cannot come to school any more. And he gave me a slap in the face, and I went home and cried. That was the last -- last day o-of school."
13,This was -- what year was this?,Pardon?
14,What year was this?,°40 --
15,40 --,-- two. 1942.
16,"And that -- the Germans came in 1941, right?",Right.
17,In the summer?,Yes.
18,Do you remember when they came in?,"Yes, I do."
19,"What was it like? You were 10 -- 10 years old, what was it like?","Not much, we -- we didn’t know what’s -- what’s gonna happen, and we just be -- a lot of people were running to -- running away with the -- with the Russian back, and we didn’t. We were small, and we figured we -- we didn’t do nothing wrong, and we stayed."
20,And had the Russians come in first?,"Yes, in 1939."
21,And do you remember what that was like? Any changes in your life?,"No, no."
22,You went to public school?,Yes.
23,And what -- what did you speak at home?,Yiddish. And my parents spoke Hebrew.
24,Were they Zionists?,"No, no. They za -- they weren't Zionists."
25,Were there any Zionists groups in -- in Koretz?,"Yeah, there were, but I -- I was a child."
26,"When you came home from school having been slapped by a teacher, what -- what -- what did your parents say or do?","Nothing, what can they say? There is nothi -- who -- who -- who -- what -- what can they say? There is nothing they could say."
27,So you -- you and your siblings stopped going to school at that point?,Yes.
28,Was your -- your family religious?,Yes. We were rel-religious.
29,You -- y-your father had a beard?,"No, no --"
30,N -- so --,-- but he --
31,-- modern re -- Orthodox.,"Yes. We observed Shabbas and we went to shul, and mine dad was putting on [indecipherable] and --"
32,What was a Friday night like in your house?,"Very nice. My mother made Shabbas dinner and we all sat, and a nice Jewish home, I would say."
33,Did you sing zemirot as well?,"Yeah, yes, yes, but I was a child. I had older brother, he was about three and a half years older. I had a five year old brother, and a two and a half year old brother at that time."
34,Tell me your parent’s name.,Avrum.
35,Yeah.,And my mother was Sibia.
36,And your siblings?,"Maisha, Sonya, and Jaina."
37,"So you had three s -- three siblings, and -- and many a-aunts and uncles, you said --",Yes.
38,"-- too, aunts and uncles.",Yes. Cousins.
39,"Do you have any sort of fond, clear memories of life at -- at home, or in the city, in Koretz before the war started?","No, I was a -- a child, and I was the only girl in the -- in the house and I don’t know, my --"
40,Did you have lots of friends?,Yes.
41,All Jewish friends?,N-Not -- mixed.
42,"And your no -- non-Jewish friends, were they also -- were there tones of anti-Semitism in their be-behavior, or -- or didn’t you experience --","Yes, yes, they used to say, Jew, go to Palestine."
43,These are your friends?,"Ye -- I don’t know if you call friends or enemies. I lo -- I can’t tell you what, but --"
44,"So after the Germans came, how did life change? I mean, you -- you stopped going to school, but how else did --",Bad. Bad.
45,How”,"How? You couldn’t go nowhere, you couldn’t do nothing, and I cannot describe you how bad it was, but there was bad. You were a Jew, and you couldn’t do nothing."
46,"Do you remember any violence in the streets? Seeing anyone beaten, or --","Yes, yes."
47,Tell me about that.,"Yes, if you didn’t behave what they told you, they beat you."
48,"And did you see anyone get beaten, or -- or --",No.
49,"-- or shot, or --","No, not -- not that I remember. It’s already over 60 years, and I was a child, so it’s difficult."
50,You said you had a -- you had grandparents as well?,Yes.
51,They also lived in Koretz?,Yes.
52,And how did they fare in all this?,"Bad. Very bad, if you’ll excuse me. Bad."
53,In what sense bad?,"Well, they -- they -- you know, you -- you were a Jew, and you couldn’t do nothing. No food, nothing."
54,So there was rationing?,Yes.
55,And how did you get food?,How did we get food? We get a piece of bread like this a day.
56,You had to stand in line for that?,Yes.
57,So who would go to stand in line?,"Oh, my dad, my mom. Depends."
58,"And they would bring home these small pieces of bread. Sugar, butter, meat, anything like that?","Forget about that. Sugar and butter and meat, forget about it. If you got a piece of -- a potato and a piece of bread you were lucky."
59,And this began right away?,Pardon?
60,This started right away?,Yes.
61,"What was it like in your house? Did you -- did -- was there any conversation about running away, about trying to escape?","No, no, not really."
62,But was there some talk about what was going on in the --,Yes.
63,And what did your parents have to say?,"Not much, what can you say? There’s nothing you can say."
64,Had they heard of Hitler before the war?,Yeah.
65,They knew what was going on?,"Yeah, but we didn’t believe it."
66,So they talked to you about it enough to s -- to say this can’t be happening.,Right.
67,"While you were at home, you had no schooling. We were -- you weren’t a Jewish -- there wasn’t a Jewish school set up?",Forget about that.
68,So what did you do on a day to day?,"Nothing. What do you do? Nothing. Stayed home, and -- and cry."
69,How long did this last?,"Well, they came in °41 - ’42 - ’43 - ’43 and a half f-for the -- about three years, I would say."
70,H-Had you heard of anyone being shot?,Yeah.
71,You’d heard rumors.,"Oh yeah, yes."
72,Do you remember anything happening in November 1942 in Koretz?,No.
73,You didn’t hear word of a -- of a massacre o-of Jews outside the city?,"No, they -- at ’42, yeah, they -- they were killing. They were killing and they were -- was aktsia, I don’t know how they --"
74,Aktiona.,Aktiona.
75,Yeah.,"And we were at home, and we heard a lot of noise because they were screaming, raus Jude, raus Jude, and they -- we didn’t know what was going on. And they would break with their foot, they would break the door and come in with dogs, and take you to the grave."
76,The mass grave.,"Mass grave. And we didn’t know what was going on, so my dad grabbed us, the children, and we ran upstairs in the attic. And we had a ladder, and he pulled the ladder. So 1f you don’t have the ladder, you can’t climb to the attic. And -- and they came in and they didn’t see nobody, and they went out, with dogs, with -- they we -- with -- before they did this they were drunk. They -- they were drinking a day before. So they were screaming, yelling, raus Jude. And we stayed there for about three or four hours, and it calm down, and we went down and we found out what was going on. And if you survived after so many hours, they took you to the ghetto. We had a ghetto in Koretz. And -- and that’s it."
77,So they came back for you?,"No, no, they didn’t. They didn’t came back, but we heard rumors that -- that si -- they s1 -- they killed so many people, and that was a -- a -- a forest, and there -- there had graves, they dug the graves and they killed. They brought them with the horse and wo -- buggies, and they shoot you there, they kill you."
78,"And how did you get to the ghetto? I mean, ya -- did someone say --",Ha -- well --
79,-- go to the ghetto?,"It wasn’t big, the Koretz was not a big city. And they said whoever survived must go to the ghetto."
80,So was it a -- was it barbed wire around the --,No.
81,-- around the ghetto?,"No, free. It was -- it was left there maybe 200 - 300 people, that’s all. I can’t remember, but it was not -- not many people survived."
82,And how many Jews th -- do you think there were in Koretz before?,"I would say maybe 3000 - 4000 families, approximately."
83,Families?,Yeah. I’m not sure because I was a child and I was not interested to know.
84,"And there were, you said, two or 300 left --",Maybe.
85,-- after the aktion. What was it like in the ghetto?,"Bad. Very bad. We had to go to work, and food was bad. Un -- undescribable."
86,What was the food like?,"Oh please, you got a piece of bread, and a -- a little soup, and that was -- that was it."
87,"So you were now what, 12 years old?","Si -- 11, I believe, yeah."
88,And what kind of work did they put you to?,"Cleaning the streets, cleaning toilets, cleaning everything that you can do."
89,"What do you remember seeing in -- in the ghetto, in the streets of the ghetto? Any -- any memories from there?","I don’t remember, really, but it was bad."
90,How was your father reacting to all this?,Very bad.
91,How so?,"Sad, bad."
92,And your mother?,Also.
93,Same.,"My mother was how -- very sad, and she would s -- fast twice week and sit and pray at home."
94,"A-And formal religious services, I assume, stopped?","Oh, please."
95,So your mother would pray at home?,Yes.
96,And your siblings?,"They were little. One was five, and one was three and a -- two and a half."
97,"So, starvation was a very serious issue, is -- 1s -- 1s that correct? Food and water?",Correct.
98,And what --,Excuse me.
99,"-- what kinds of -- what kind of work did your parents do they sent them out to -- to do labor, forced labor?",Yeah.
100,What kind of work?,"Clean streets, clean toilets, clean -- wash clothes for them."
101,So that -- we’re already into fall and winter of th --,Yes.
102,1942. Was there a Judenrat? Was there a Jewish council?,Yes.
103,Do you remember them?,"I don’t remember them, how can I remember? I was a child, but I remember we had a Judenrat."
104,Do you remember what their responsibility was?,Their responsibility?
105,Yeah.,"They -- they picked one guy, and they told him that we gonna save you, you are gonna be saved. And you go to the ghetto, and bring us money, gold, clothes, whatever. Every day he came to the ghetto and he said that we should bring that to -- to him."
106,A Jew? This is a --,Yes.
107,-- the head of the -- the head of the Judenrat?,Yes.
108,"Earlier I showed you a picture of five men, was one of those men a -- a member of the Jewish council, do you think?","No. No, no. I met Moishe Smollo after -- after the war. We were in -- in -- in Germany, we were in a DP camp, and we -- he was in Russia, and he -- y-you know, he was from Koretz, and we -- my husband and -- we met him."
109,"You and -- and your family escaped the ghetto, is that correct?",Escaped?
110,Escaped the ghetto?,"No, no. We were in ghetto. Next to our ghetto we had a building with Russian prisoners, and they were wounded. And we had a doctor, Dr. Wollash. I h -- I don’t remember what I did yesterday, but I remember his name, and he was a doctor and he used to go every d -- every day and take care of them, whoever was needed and wounded. And he was going to their -- to the -- to their building and one day he comes in and -- and one day he comes in there, and a Russian prisoner says, doc, I gotta tell you a secret, but don’t you dare tell -- tell that I told you. And he says, well, what’s that secret? He says they’re digging graves in Cusack and in a day or two they’re gonna have liquidation for the ghetto. So he came to the ghetto and he says, in Jewish, kinderloch, run, because so and so and whatever. So my parents heard that and they -- they had a Ukraine family that they had no children, and they said -- my parents gave them money, gold, and whatever, jewelry, and they promised that they gonna save me and my older brother. And my mother and dad said that we should go there. And I said, no, I’m not going. If they going to kill you, I’m not going. I’m staying here. And well, when my mother said something like that, I ignored her, but when the da -- when my dad said something, it meant business. And she started to pack for me that we are leaving. And I says, if I go, I am not taking nothing, and I’m not going. And they said, no, we made arrangements, and you and your brother are gonna go there, and she’s gonna save us. And well, I said, I guess we have to go. And it got dark, it got maybe eight o’clock, nine o’clock, I’m not sure, and we ran out from the ghetto. The ghetto was not wired, you can go. And we heard shooting. Somebody was shooting, and we hid under a bush. And then there was a -- I remember, was a -- like a -- not a -- pond, or what, and you had to cross that in order to run away, and we jumped over there, and I was 10 years old, 11 years old, I didn't know how to swim, and my brother pulled me out by my hair, and we -- he was a -- a man, a boy, and he stronger than I am, he knew how to swim, and he saved me. And we ran over that water, or whatever, I di -- I can’t tell you what it was. And we were hiding under that bush. And we went, we ran. It took us more than an hour, two hours to get to that -- to those people. And we came and it was already 10 o’clock. We knocked in the door, and we said, we came to you, and we didn’t say nothing, killing or whatever. And she said, oh my God, oh my God. And she said - we Said, we like to stay here for a day or two. And she says, oh, okay, then you can go in the barn and hi -- and sleep there. And we did. And in the morning she came, and she says, I heard that they killed already, everybody in Koretz. It’s -- everybody’s killed. And -- and we started to cry, and we knew that that’s it, they killed our parents and the two brothers. And every morning she would come in and tell us that we must leave because they gonna find out that she is hiding Jews, then they gonna kill her. And that was every morning. And she would bring us a piece of bread and a glass of milk. And anyway, I told my brother, I’m leaving. I can’t stay here. And he says, well, there’s nothing we can do. And I wa -- in the morning, I got up, and I says, I’m going. Because she would come in and she said we must leave. And I said good-bye and I walk out from that barn, and I didn’t know where to go, because we were border with Russia, and that was Russia til 1939, and we were Ukraine Poland. And I -- I says, what do I do? Where do I go? And I went the other way, where Ukraine. And I walked and walked, and where I’m going, I don’t know. I walked for a couple hours, and I saw two men working on field. And I walked over, and I told them, my name is Manya, and I’m from a village, and I have no mother. My mother died, and my dad remarried, and I have a stepmother and she doesn’t want me, and I’m looking for to be a maid. Maybe you know who needs a maid. And he says to me, aren’t you Jewish? And I says no, I’m not. And he says, well, if you wait an hour or so til I finish my work, I think my neighbor may hire you. I said okay. Didn’t eat nothing, nervous, scared, don’t know what’s gonna happen. And he went into the house and he wrote the address, and made a little map for me. And he says, go there, he is my neighbor, he might hire you. And I did follow the map. Where I’m going I don’t know, but finally I did find th-there, the neighbor. And it was kind of dark. I came in, I knock on the door, and I show him the na -- the piece of paper, and he says to me, aren’t you Jewish? And I said, no, I’m not. And she says, well, what can you do? What do you want to get paid? I said, a piece of bread. And she said, what can you do? And I says, try me. And she says, okay. And I stayed there. Every day, are you Jewish, are you -- your mother was Jewish? I said no, not at all. And I worked very hard. Very, very hard to please, and I didn’t know from one day to the other day if Pll survive. And -- and that’s about all. I stayed there til the Russian liberated us."
111,When you went to the first house --,Excuse me.
112,"-- where your -- your parents had sent you, did you know the woman at that -- at that house?",Yes.
113,"So she was a friend of your parents, is that --","I don’t know if you call a friend. I don’t know what you gonna call it, if it’s a friend."
114,And did you see your brother again after that?,"No, no. After I -- the Russian liberated us, I went back and I thought that mine brother 1s still alive, still there. She told me they caught him, and they turned him into the police, and they got two kilo salt for him. If you catch a Jew alive, that’s -- you get for him. No, she told me that. She was --"
115,Was she -- she surprised to see you when you came back?,"Yes, she was. And I -- I cried, and that’s all I did. And I went back, because where am -- what am I gonna do? I didn’t had no -- no profession, no -- no -- no family, nobody. I went back and I came back and stayed another two months, and then I went to Koretz, back."
116,You stayed for two months with this woman?,"Where -- where I stayed, where I stayed, yeah."
117,And so she put you -- End of Tape One Beginning Tape Two,-- in the forest.
118,And what happened when you saw -- when you met them? Did you --,"I didn’t know them, they didn’t know me."
119,So you didn’t join the group. You stayed.,"I met mine cousin. I have a cousin, she’s in Brazil."
120,The other survivor.,Yeah.
121,"Yeah. And the woman who took you in finally, when you went off on your own, I mean what- what made you think of that story? Had you been thinking about it before? Did you make it up on the spot?",On the spot. Yeah.
122,It’s quick thinking.,"Yes, I gave him my -- I was -- my name was Manya Romanchuk. I took a name from a friend of mine that I went to school."
123,"So, it was a real name?",Yeah.
124,Yeah.,But that’s what happened.
125,And what was it like to -- to be living in this -- in this house? They -- they obviously suspected you were Jewish.,"They did. They suspected, but they -- they have a five year old child and a three year old child and they needed a maid."
126,So you took care of the children.,"And a lot of, you know, more things to work, in a farm. It wasn’t easy."
127,"And what were you thinking about, at night for example, when you went to sleep?",Crying. That’s all you can do.
128,Did you --,"No -- no life. Every day get up, clean, wash, do o-on the farm."
129,And did you suspect that your -- your family was -- was dead?,"Oh yeah, oh yeah, I knew that -- and when the Russian came, I didn’t -- I didn’t expect it, I thought it’s a miracle. It’s an -- it’s a dream."
130,"The liberation. When you went back to Koretz, were you looking for people?",Yes.
131,But you found no one.,No.
132,Did you ever have any conversations with the woman who was your rescuer?,"Yes, I did, but sh -- they were not too -- they were not happy, because I -- I don’t know, they kind of cold, I would say. The -- they didn’t ask me if I need help or anything, not -- none."
133,Did they go to church?,Yeah.
134,Did they take you?,"Yeah, yeah."
135,What did you do in church?,"Well, I did what they did, same thing."
136,Did you make any other friends while you were there?,Yes. Yes.
137,And no one knew you were Jewish.,No.
138,"Did you get any news of the war, the way the war was -- was going, that the Russians were -- were coming?","No, not really, but he had the brother, mine boss. And he had the brother and he had a man that he worked for him. He was from near Kiev, from a village, and he was ki -- friendly with me because I told him I was from Russia. And one day he says, Manya, I want to tell you a secret. I says, okay, what’s the secret? The Russian are in Kiev, and they’Il be here in two weeks. And I looked at him, and I says, it’s -- it’s -- it’s not -- 1t’s not gonna happen. And sure enough -- I says, how do you know”? He says, well, we have a radio, and my boss and I, we go in there, in the barn, and we turn the radio, and we know where the front is. And the Russians will be here. And sure enough, in one week, 10 days, they came. They were liberate -- they liberated us."
139,Did you ever have any encounters with Germans?,Did I what?
140,"Did you ever have any encounters with -- with Germans, SS men?","No. No, I was a child, what can I ha -- no."
141,"And yo -- the family that put you up, were they -- do you think they were afraid of being caught?",Not that I know.
142,"Was th -- the woman before was afraid of being caught, she said --","Yeah, she says, if they gonna find out that she’s saving the j -- Jews, they gonna kill her."
143,You think that was right?,"I-I don’t think so, but who know -- you know, sh -- who knows that -- if -- what -- what’s right and what’s wrong, who knows?"
144,"Do you remember where you were when the Russians came, when the liberation came?",Home.
145,And -- and did you see them come in?,Yeah.
146,They marched in?,"Yeah. Well, they marched in, no -- no fighting, nothing. They came in."
147,So what did you do?,Not much. What can I do? ’'m a child.
148,Did you go out to greet them?,No. No.
149,Were you frightened? Were you frightened?,"No, no, not at all."
150,"The rest of the time, when you were in hiding, were you -- were you frightened then?","Yes. Every day, yes. Can I have some water?"
151,"Sure, sure.",Yeah.
152,"But you didn’t talk to anyone about this. Course, there was nobody to talk to, right?","No, no, there’s nobody to talk to."
153,"Even the -- even the friends you made, you couldn’t tell them.","No. No way, I wouldn’t be here."
154,Because they would get salt.,Mm-hm.
155,"So the Russians came in, and then what happened?","Well, the Russian came in and they were fine. They didn’t kill you because you were Jewish. If you deserve it, or you did something wrong, then they send you to Siberia. But they didn’t kill you because you were Jewish."
156,So what did you do first?,What did I do?
157,The ru -- the Russians are there --,Yeah.
158,"-- now, so that -- what -- what did you --",I was in school. I was a child.
159,You went back to school?,"The -- the Russian didn’t kill you, th -- you -- when the Russian came, you can go to school, you can do anything you want."
160,But you stayed at the same house? You were still --,Yes.
161,-- with the same family?,"Yes. When Hitler came, there was no school."
162,So you went back to school. Were there any other Jewish children in this -- in the school?,Yes.
163,So there were others who survived?,"No. No. Only mine cousin, and she was in ghetto in -- also, and she ran away to the forest and then she went to a -- a -- a house and she told them she was not Jewish and she stayed there. There was a lady, and she saw her and she says, well, they took my husband to the war -- to -- in the -- to the war and I’m alone, and she kept her company."
164,"Did you register with some organization? Did you register to tell them who you were, and where you were from?",No.
165,"So you -- so, on your own you went back to Koretz after --",Yes.
166,And what did you find in Koretz?,Mine cousin. And other people that I never knew them before.
167,Did you have a place to stay?,If you call a place.
168,"Well, it wasn’t your -- your previous house?","No, no, everything was destroyed, everything."
169,Was it an orphanage? Was it an orphanage?,"No, no, it was a family that they were in the -- 1-1n the forest, a husband and wife, and they survived in a bunker, and they came to Koretz."
170,And how long were you in Koretz?,"Wait, °45 -- for -- two years, I believe, something like that. Maybe a year and a half. I can’t remember exactly."
171,And you lived with your cousin?,Yeah.
172,Went to school?,"No, no school. No school."
173,So what did you do?,Pretty bad.
174,Did you work?,A little. Not much.
175,"And how did you get food, and --","They would give you a -- a rationing, the -- the government, and you go in a place where -- I don’t know how to say in English, where they were cooking for people that worked, and if everyth -- anything was left over, you could have."
176,And w -- and -- and how many -- how many Jews do you think there were that came back to Koretz?,"You can count them on the finger. Maybe 20. Maybe. I c -- I can’t remember because I didn’t check, you know, I -- it wasn’t important for me."
177,And did you check on what happened to your family?,Yeah.
178,And -- and what did you discover?,"Well, my parents were killed."
179,In the ghetto.,Yes.
180,Yeah.,"And my brother, also, so that’s the story, that’s the -- that’s it."
181,"And the rest of your family, also killed in Koretz?",Yes.
182,And at what point did you decide to -- to leave?,"Well, what else do you gonna do? How much longer can you stay there? You couldn’t go out from Koretz because if you do, they still kill you."
183,The Poles? U-Ukrainians?,"Ukraine, Ukraine."
184,So you had heard of pogroms and --,Yes.
185,-- and murders of Jews after the war?,Yes.
186,"Well, how did you go about leaving? Did you just go by yourself?","No, no. I -- there was a -- a man. I was not -- they wouldn’t let me go because I wasn’t old enough to leave, so I had to have a -- a gu -- a guide? Not a guide, how would you say in English?"
187,A sponsor?,Yes. And he sa -- he took me on his passport.
188,And who was this person?,A man from Koretz.
189,Who was leaving?,Yeah.
190,And he -- and he --,"I told him to do me a favor, and he did."
191,You knew him from before?,No.
192,So at this point you’re 16 - 17?,"About 15 -- no, close to 16, I believe."
193,And where did you go?,"We went to Poland, and -- and yeah, we went to Poland [indecipherable], I don’t know if you can -- if you know the name or what, [indecipherable], it’s a -- it’s a-- as -- a-- a city."
194,Near -- near’?,"Near -- I can’t remember exactly, but --"
195,"Okay, so you went to Poland.",Yes.
196,And how long were you there?,Not long. We went to -- went to a kibbutz.
197,Hashomir Hatzair? Was that what --,"I don’t -- yeah, I believe so. Yeah, we went to a kibbutz."
198,So you were planning to go to Palestine?,Yes.
199,And then what?,"Then I -- I met my husband in Koretz. His sister survived in the partisan, and he knew a -- he knew my parents, and I knew his parents, and he ca -- he was in Siberia, in Russia, and he came to see his sister, and we met. And my husband said he would like to marry me. And I says, I’m not getting married, I’m too young. And he took his sister and sister-in-law and went to Poland, also. And we met in [indecipherable] and then we got married there."
200,"Th -- and did he follow you, is that you think what happened?","I guess. I don’t know if I followed him, or he followed me. He went f-first, with his sister and sister-in-law and I came maybe a month later."
201,"So you’re married now, that --",Yeah.
202,And he didn’t want to go to Palestine?,He didn't want to --
203,Go to Palestine.,"-- no. He -- he -- he didn’t say he didn’t want to go to Palestine, he just -- you don’t -- what -- what you want, and what you can, it’s two different stories. He had a sister that she got married before the war, and she went to Israel, and she’s now still in Israel, in Tel Aviv."
204,"Well, how did you wind up in Germany?","Ah, well, when you are in kibbutz, from the kibbutz, they take you to Germany, in a DP camp. They [indecipherable] or I don’t know, they -- they paid for you and they al -- brought you to the camp, DP camp. Displaced person."
205,Where was that?,"Was [indecipherable], near Stuttgart. Between Munich and Stuttgart."
206,And what was life like there?,"Not very well. We were in the -- in the camp also, but you can -- it’s not like we were in a ghetto. Nobody killed you. We get -- we got rationing, you know, food, every two weeks, and it wasn’t great, but at least you could survive. And then my husband had the uncle in Detroit, and he found out that we survived, and he sent papers for us. And m-my husband’s sister went to Israel, to her sister. And we went to -- we -- my son was born, my oldest son. I was 16 when I got married, 17 when my oldest son was born. And we came to -- in ’49 we came to Detroit."
207,"What was it like in the DP camp, did you work? Did you --","No, my husband worked. I couldn’t work, I had a chi -- a child."
208,A child. So what was a day like in --,"Um, not -- not as -- like we were in ghetto, you know. It was -- nobody ki -- will kill you, nobody beat you. Nobody, you know, you -- you were in the ge -- in DP camp, and you were like anybody else."
209,You made friends there?,Yes.
210,All Jewish friends?,Yes.
211,H-Have you kept in touch with any of them?,"Yeah, yeah, I have in Israel a friend. I have in Winnipeg a friend that also survived, from Koretz. And in Edmonton, I have a friend."
212,But you came straight to Detroit? That must have been quite a culture shock for you.,Yes.
213,How did you react to that? You had -- you had one child at the time?,"Yeah, one child. Well, it was -- it wasn’t great. No language, no money, nothing. But God helped us."
214,It wasn’t the ghetto.,It wasn’t the ghetto.
215,"Let me ask you a different kind of question. Have you -- you -- you said you hadn’t done an interview before, have you -- have you told anyone else about your experiences during the war? Your children, for example, they --","Yes, yes, and my oldest son is very active in the Holocaust in -- museum, in Washington, I don’t know if you know that. And yeah, we told -- I told mine kids, and everybody says to me, I should record it. And I says, no, it’s very painful. I didn’t want to, at all. But mine son a -- tol -- asked me, so I am doing for him."
216,Do you think it’s important that you do this?,"Yes, yes, but it’s not easy. It’s very painful."
217,"Are there certain things that remind you of that time, during the day and night, that come into your mind?","At night, m-mo-more. Excuse me."
218,Like what?,"Dreams, screaming."
219,Still have dream -- so that’s -- the screaming reminds you of it -- the time in the -- in the ghetto [indecipherable],Yeah. It’s even more than I’m telling you.
220,How much -- more how?,"Well, um, it’s -- 1t’s not pleasant to -- to have your parents killed, and brother."
221,So you still hear those voices?,Yes. Yes.
222,"Anything else that reminds you of -- of those ti -- or -- or even of times before the war, when you were --",Pardon?
223,"-- e-even a -- anything that reminds you of times before the war, when you --","No, before the war I was a child, and lived in a nice home, [indecipherable] nice family. And my mother, my father, I was the only girl. And my father work and came home, and we had a normal life, like anybody else."
224,Do you have grandchildren?,Yeah.
225,And have you -- have you talked to them about this?,Yes.
226,So they know about it.,"They know. But they’re kids, and they were born in here, in America, and they go to school, and they -- they’re children."
227,What are their names?,"Michael, David, Lisa and Spencer."
228,And your s -- your sons?,"My son is Mickey, Stevie, Eddie."
229,Three s -- three sons?,Yeah.
230,Would you do this again? Would you talk with -- to people about this again?,"To be honest with you, no."
231,Too hard.,"Too hard. No. It’s not a pleasant subject. People ask me, how do you survive and blah, blah, blah, and this. Some people that I am close, I'll tell them, but otherwise, no."
232,What do you think about the museum in Washington?,I think very much. I think a lot.
233,"And all the attention that -- that the Holocaust is getting in th -- in movies, and books these days, what do you think about -- about that?","I think it’s very nice. I think it’s, for people that didn’t go through, they should learn. They should."
234,"Did you see, “Schindler’s List’’?","Yes. I didn’t want to go, but my middle son asked us to go, so my husband and I in -- we -- we went, and I said, that’s it. ’'m not going any more."
235,So you haven’t seen any of the others?,"No. I’m not interested. I went to -- to the Holocaust the first time, and I saw it, and I st-start to cry, and --"
236,In Washington you mean?,"Yeah, and I says, that’s it. That’s it."
237,Have you been to the one in [indecipherable],"Honestly, you -- no. To be honest with you, no, no. He -- he’s -- the -- the rabbi is not my cup of tea. Let him be well."
238,I agree. So what do you think made your son get so involved in the museum in Washington?,"Well, because he knows that my husband and I went through."
239,Went through it.,"And he’s doing this for us. He’s a very good son, and he’s a nice human being, not only because he’s my son, but we appreciate."
240,Is there anything you want to add to this?,Not really. I don’t know.
241,"Something you might want one of your grandchildren to hear, if --","Yeah, I would. I love them dearly and that’s all we have. And my children, and that’s about all."
242,Thank you.,Thank you.
243,"Oh, they’ ll -- they’ll get copies, so --",Yeah.
244,"-- they'll send it -- they’ll send you a copy, so you can --","I don’t know if I did it good, or I did it bad."
245,"You were fine, you were great.","You know, I -- I don’t -- now, you forget things."
246,You're fine.,It’s not so -- what time 1s it? End of Tape Two Conclusion of Interview
