Question,Answer
Q: [indecipherable],"A: -- where the people were younger, I was skipped frequently, because I knew -- Iknew the stuff. My mother --"
Q: She made sure you didn't lose the language.,A: Absolutely. Read wonderful stories to us from English books.
"Q: Now, at home in Savannah, that begs this question of what was the language","A: No, we spoke English en-entirely."
Q: No Yiddish?,"A: No Yiddish whatsoever. When I -- when we landed in Lithuania, it was first yi --I did hear some Yiddish. We had an -- an elderly -- not my aunt, but my mother's The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.16Interview with Al JaffeeMay 21, 2016aunt, and my mother would talk to her in Yiddish, and my Aunt Frieda would talkto my mother in Yiddish if she didn't want us to understand what she was saying.So I heard Yiddish. I had no idea what it -- any of -- anything meant, except maybe afew simple words. But when I arrived in Lithuania I knew none of it, and -- but Ilearned to speak it fluently."
Q: Okay. Now tell me a little bit about your dad. You said he also had a sense of,A: Yes.
Q: What kind of a personality did he have? What do you remember from that?,"A: He -- he was -- I met people in Lithuania who would, when they heard who Iwas, and they remember going to school with my father would say, oh, your fatherwas the smartest guy in the classroom. He also was -- he became a well-knowncalligrapher. He could write a s -- a Spencerian hand, that was -- people used to askhim to fill out papers for them."
"Q: Wow, mm-hm.","A: All self-taught. And he was an avaricious reader, but of newspapers --"
Q: Okay.,"A: -- and magazines.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.17Interview with Al JaffeeMay 21, 2016"
Q: What were the newspapers in your home in Savannah? What were the,"A: Well, there was a local paper -- papers, but I -- I don't remember the -- the namesof the papers. My only interest in those papers were the Sunday funnies, and thedaily funnies as well. My brother Harry and I were crazy about the cartoons,because we were bo-both had art talent. And part of the art talent we had came fromcopying the cartoons from the newspaper strips, which were taught to us by ourfather."
Q: Really?,"A: Oh yes. He would sit us down on a Sunday, and take out a large sheaf of whitepaper, and start drawing Jig -- Maggie and Jiggs, and Dick Tracy, and all the car --cartoons of those days, and it was like magic to me and Harry, and we becameprofessional artists, and -- but my father was very good at it. He -- I think that had hepursued it as a career, he could have succeeded. But --"
"Q: But isn't that interesting, that he bequeathed to you -- in some ways you se -- you","A: Yes.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.18Interview with Al JaffeeMay 21, 2016"
Q: That these are sort of like legacies in -- in a way.,"A: Yes, they are."
Q: Yeah.,"A: Well, he -- he was -- he was, unfortunately, a beaten man. And that took a lot outof him. Took a lot of the fun out of him. And the reason he was beaten is that,because of his frustration at not being able to keep his family in America, mymother was constantly taking us to Lithuania, he lost his job because of that. He --the first time we went to Lithuania, h-he -- he ga -- he just took off from his job asmanager of a department store, and spent months and months trying to get us tocome back. And when he returned, of course the Great Depression struck, I thinkthat was 1929, and his job was eliminated. And he -- the only job he could get wasin the post office, because he had veterans benefits."
Q: He fought in World War I?,A: He was in World War I.
Q: Where did he fight?,"A: He was -- he was captured by the Germans, and suffered terribly in World War I."
Q: Oh my goodness.,"A: And I remember I was so fascinated with World War I when I was a little boy,because there was still a lot of talk about it -- The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.19Interview with Al JaffeeMay 21, 2016"
Q: Of course.,"A: -- there was a lot of -- a lot of veterans around. And I would constantly say to myfather, you know, typically, Daddy, tell me what you did in the war."
Q: Yeah.,"A: And he -- ll never forget his answer, it was always the same, I shot lions."
Q: Oh God.,"A: I said, Daddy, you didn't go hunting for lions in the war. He says, oh, I did. Therest of them were shooting each other, but I was looking for lions. He didn't want totalk about it."
Q: Of course.,"A: I later found out from his brother, my Uncle Harry that he was captured by theGermans. And Germany was not -- did not have the Nazi --"
Q: Of course.,"A: -- anti-Semitic attitude at that time, so he was not mistreated as a Jew, he was di-- mistreated as -- as an -- as an -- not only as an American, but by the fact that therewas not enough food for the German people, the captive Americans were given nofood at all. So he -- he starved, and s -- like they all did, all the captives. So, hedidn't want to talk about the war at all, but my Uncle Harry filled me in on themonths and months and months that he lived in -- in a -- in hovels, and -- The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.20Interview with Al JaffeeMay 21, 2016"
Q: Was this when you were older that he filled you in on this?,"A: Yes, when I was older."
Q: Yeah.,"A: When my father was no longer alive, he told me. I think my father must havetold his brother, d-don't -- don't tell them about -- you know, what --"
Q: People want to spare their children these things.,A: Yeah.
Q: They really do.,"A: I think so. He never wo -- he never once mentioned a single thing about the war,and he would hide photographs of him in uniform."
Q: Really?,"A: Yeah, I--I--I foun--TI got some sent to me by relatives, cousins of mine whoinherited photographs from their mothers, and their mothers were sisters of myfather. And there he was, looking very, very snappy in -- in a doughboy uniform. Ithink I included a picture in the book, if I-- but I'm not sure."
"Q: Oh. But what di -- I mean, in some ways, for someone who doesn't want to talk","A: Yeah, it wa --"
Q: -- and he's distracted you from the real question.,"A: Well, he distracted us and he entertained us. He took me and my brother Harryto all kinds of wonderful places, in and around Savannah. He took us to an airportto see airplanes doing their stunts. You have to remember that these are little -- theylook like model airplanes. And we were overjoyed. And of course, again, theadmonition, don't tell your mother what I bought for you to eat, you know, causeit's not kosher. But -- and he took us to merry-go-rounds, and loop-de-loops, andyou know, all kinds of --"
Q: Fun things.,"A: -- fun things. He -- on his day off, he was wonderful. By the way, one of thethings that was thrown at him when he was fired, was hi-his children'sdestructiveness. He used to invite me and Harry -- Harry and me -- I hear mymother correcting me -- to the toy department of the big department store, and giveus leave to play with the toys."
Q: Oh my goodness. Oh my goodness.,"A: Well, we broke them, and we did all kinds of terrible things, which my fathertold us not to worry about, he will pay for it. But just the same, they threw that upagainst -- to my father when he was being let -- let go.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.22Interview with Al JaffeeMay 21, 2016"
Q: He sounds like a very doting father.,"A: He was. He would lie on the floor, copying those cartoons half the Sunday, youknow, we -- and he took us to the park, and introduced us to this -- the friends hemade in the park, and you know, h-he -- he -- and he bought us candies, and he didbuy us hot dogs, cause we begged for it. And candied apples. You know, he wa -- hewas -- he was a good daddy, and we loved going places with him."
Q: So what happened at home? Was home life tense because yo -- you -- your --,"A: They seemed to get along, but there were little problems that from -- from achild's point of view -- and you have to remember that I'm six years old, five or sixyears old -- my mother would complain about how much work there is to do. Youknow, typical -- you have a lot of children, and you -- you -- you"" re tired, and youcomplain."
Q: Sure.,"A: And my father would take charge, and he'd hire an African American lady --where he got her, I don't know, be -- probably by asking questions. He was veryfriendly towards African American people. In fact, his -- his favorite helper in the di The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.23Interview with Al JaffeeMay 21, 2016-- in the store was James, whom he would send on his bicycle to pick me andHarry up and bring us to the store, on a bicycle."
Q: Whoa.,"A: Which my mother wasn't crazy about either, but no -- nothing bad everhappened, and we li -- we li-- we loved James. But then he would send -- probablyhe would ask someone like James, do you know somebody who could -- who couldhelp out in the house and clean and wash dishes? And then he'd come home and mymother would be hysterical and say that she mixed the milk dishes with the meatdishes."
Q: Non-kosher.,"A: There are certain basic things that do stick with people, even if they're notstrictly observant. You have two sets of dishes, just the way Catholics have certainthings."
Q: No fish on Friday.,"A: Yeah, no fish on Friday."
Q: Yeah.,"A: I mean, no meat on Friday."
"Q: No meat on Friday. I'm sorry, you're right, no meat on Friday, yeah.","A: No meat on Friday. And you put a-- a hamburger on their plate and they"" ll --they will recoil."
Q: Yeah.,"A: And with my mother, if you put a hamburger on a plate that's used for dairyproducts, she wouldn't touch it."
Q: Yeah.,"A: So, these are centuries of religious practices, but they're not religious, they'recustoms. They become customs. And even non-religious people are observant ofcustoms. So she would become hysterical and then say, I have to throw the dishesout. And my father would argue and say, you can't throw dishes out just becausesomeone made a mistake. You know, and that -- those are the kinds of conflicts thatthey would have."
"Q: That the children would hear, that you would hear.","A: We would hear it and it would be upsetting. But -- and sometimes m-mymother's creativity -- she was very creative -- aside from being a fi -- an unbelievablemimic, she could act out poems and -- and things like that, but she also had pickedup notions that -- about bathroom habits, and she decided that we must -- that thechildren must go to the bathroom every day. And the only way to guarantee thatwas to serve castor oil every day. Well, we rebelled against that, we wouldn't -- The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.25Interview with Al JaffeeMay 21, 2016we'd disappear. So, her creativity, she built a witch in the closet that was so real,and she would say, you will take your castor oil, or ""m putting you in the closet.And she'd open the door, and there was this living witch."
"Q: Oh my God, oh my God.","A: By today's standards, this is abusive treatment of children."
"Q: But -- but it -- you're right, it's very creative.",A: It was very creative. We took -- we took our castor oil.
Q: Castor oil.,"A: Yep, we did take it."
Q: Oh my God.,"A: But she had an obsession about that because even in Lithuania, she would sendme to some woman in town who was -- had a -- a private apothecary, you know, not--not licensed by anybody, it wasn't a drugstore or anything, but she made uppotions. And one of the potions she made was a -- a laxative. It was made fromboiling the leaves -- those little things that come down from a maple tree."
"Q: Oh, the little -- the little --",A: With two wings.
"Q: Yeah, yeah, yeah, the -- I don't know what they're called, but I know what",A: They would float down like this.
Q: That's right.,"A: She would boil them, and it would turn into a black sludge of some kind, andsupposedly my mother believed that that was a good laxative. But we wouldn't gonear it, witch or no witch."
"Q: So -- well, the -- you get older and the witches lose some of their power, you",A: That's right.
Q: You know.,"A: But I don't look back on it with bitterness. I-- you know, I thought it ---I-Ireally thought she was very inventive, and I -- I kind of admired that, and it's -- hasstood me in good stead all these years because being inventive is the name of thegame for me. I've created a lot of stuff, physical stuff, intellectual stuff, artisticstuff, and I think she imbued me with that idea. She inf-- she created a lot of o-otherthings as well; a good deal of her own clothing."
"Q: Mm-hm, what about your clothing?","A: I1--I can't recall that -- that she specifically sewed anything, she must have. Butshe did take us to specialists in Lithuania who made shoes, made shirts, madevolekkes(ph) and -- The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.27Interview with Al JaffeeMay 21, 2016"
"Q: I don't know what that is, volekkes(ph).",A: It's a--a boot made out of felt.
"Q: Oh, wai -- what are they called? Boots made out of -- Q: Veltiniai. In Lithuanian it's veltiniai.",A: Velkiniai?
"Q: Veltiniai, with a T.",A: All right. So in Yiddish they -- they pronounce it volekkes(ph).
"Q: Volekkes(ph), volekkes(ph), yes.",A: You know.
"Q: Yes, yes, yes.",A: But it was a felt boot.
Q: Right.,A: And you put a galosh over it to keep the --
Q: The water out.,A: -- the water out.
Q: Yeah.,A: And we wore it all winter.
Q: Were they warm enough?,"A: Oh, they're warm. They're very warm. It's a very clever boot. It didn't smell toogood, but -- but anyone who goes around smelling volekkes(ph) --"
Q: Has an issue.,A: -- deserves what he gets.
"Q: Yeah, exactly, yeah. Was she a warm mother?","A: She could be. At times she was very warm, especially when she put her armsaround us and read us the stories, or told the stories from her experiences as a younggirl growing up in Zarasai. And -- and talking about -- you know, holidays werevery, very big time things, just like Christmas is for non-Jews, Simchas Torah,which is celebrating the Torah, well it's a joyous holiday, where you give eachother gifts, and bags full of nuts and candy and all that kind of stuff. SimchasTorah -- Torah, yes, the happiness of the Torah."
Q: Mm-hm.,"A: Well, a lot of holiday -- Passover was another holiday where -- for -- that childrenloved, and --"
Q: And this you remember from Savannah?,"A: Not from Savannah, no."
Q: From Zarasai.,"A: From Zarasai.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.29Interview with Al JaffeeMay 21, 2016"
"Q: Okay. Tell me a little bit about -- now let's get to -- to the part where -- where you Q: The reason my mother wanted to leave, as far as I can understand it, was really Q: When did you leave, by the way, what year was it, do you know?",A: 1926.
Q: So you were four years old -- five years old.,"A: I was five, yeah."
Q: You were five. Do you remember the leaving?,A: Oh sure.
Q: Tell me about it.,"A: We left Savannah, and got on a train, and arrived in New York City."
Q: Was the first time you see New York?,"A: The first time I -- I saw New York. And ostensibly, we were in New York,where the ship would be, and we stayed with relatives. And it was exciting for me,but also terrifying, because my mother took all of us -- well, there were four of us.The youngest, David, must have been around six months old, I mean, he was very --"
Q: A baby.,"A: -- he was a baby. He may have still been nursing, for all I know, I'm sure he was.And I remember she -- she took us on a subway, and the doors were opening andclosing, and people were getting on and getting off, and I would -- I remember beingso terrified that either I'll get off and she'll stay on the train, she'll get off and Pll --you know, and we'll all get lost. Well, I couldn't wait to get out of there, and thenwe wound up at some Muma's(ph) place, an aunt. And -- and that also was kind ofcrazy, because these were not mansions. They were lit -- tiny little apartments in --in poor neighborhoods, and all the people squeezed into one big room, you know."
Q: Yeah.,"A: And I --I don't even remember if we ate there, or what we did, it was -- i-it was --the -- the experience was terrifying, but eventually we were schlepped onto a boat,and we -- we left and arrived in -- I believe in Hamburg, Germany.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.31Interview with Al JaffeeMay 21, 2016"
Q: That would be logical.,A: Yeah.
"Q: That would be logical, that's where a lot of the boats --","A: We were on the German Lloyd line, I know that. We arrived in -- in Hamburg --and by the way, we had return tickets on the German Lloyd line."
Q: Okay.,"A: Which my father, when he came over after a year -- I suspect that he wasexpecting us to come back every month, because my grandfather, I heard himyelling at my mother, go back to your husband. Are you crazy staying here with thiswhole bunch of children? Oh, they used to have terrible fights, because he reallythought she had it made by going to America while they're all stuck in Europe."
"Q: Sure, sure.",A: And --
Q: This was a poor place.,A: Yes.
"Q: Y-You know, it was --","A: I mean, she was a return immigrant."
Q: Yeah.,"A: And it was just not logical, no one was doing that. So -- The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.32Interview with Al JaffeeMay 21, 2016"
Q: And so what was the train ride? Then you took a train from Hamburg into,A: I--I[ have very little -- I think it went into Kaunas.
Q: Okay.,"A: Bec -- and the reason why I think it went into Kaunas is because on the wayhome, we got on a train in Kaunas and got off in Hamburg."
Q: Okay.,A: So-
"Q: It had to be that way the other way too, yeah.","A: Yeah, it had to be that way the other way."
Q: Do you remember what your first impressions are when you come from the,"A: Well, [--1---TI really thought that I was going into pre-history. I mean, peoplewere barefoot in the street, and we were surrounded by -- my brother Harry and Iwere surrounded by local little kids who were all barefoot and -- and wearing raggedclothes that were patched, and -- and we wear -- wearing our little fl -- Lord The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.33Interview with Al JaffeeMay 21, 2016Fauntleroy s-suits that my mother insisted on. We hated those clothes, you know,we felt like clowns, you know, those little --"
"Q: Oh God, it's death to a little boy when everybody else is dressed the other way.","A: With a tam o"" shanter and -- I mean -- and -- and -- and neither shorts nor longpants, but something that came just below the knee. And we -- we felt so out ofplace."
Q: This was Zarasai?,A: Pardon?
Q: This was in Zarasai?,"A: In Zarasai, yes."
