Question,Answer
Q: Okay.,"A: They took where they wanted. Polish army prepare the -- yeah, Polish materialfor war. But it's not -- it's not like -- like German. Polish was much smaller country.They can't produce so many soldiers. It's -- it's impossible. [indecipherable] thereare armies now of thousands. Here could be maybe 1,000. It was hard. And don'tforget that German had excellent prepare."
Q: Yeah.,"A: This here, Poland against German? It's a poor country."
"Q: In comparison yes, very much so.",A: What -- what are even talking about Polish and German.
Q: Yeah.,"A: Okay.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.18Interview with Joseph BachDecember 12, 2015"
Q: So what about your brother? Was he at -- in Lvov at that time too?,A: Who?
Q: Your -- your younger brother.,A: Now let me think. I don't know remember [indecipherable] something'shappen. My younger brother -- no. He was like absent.
Q: Okay.,"A: He was in somewhere [indecipherable] something. He didn't have him, becausemy situation was different. When I came back from Paris --"
Q: Okay.,A: -- Thad my job.
"Q: Okay. You had a job, you had the MGM job.",A: MGM job. I was already -- I had been there. Very pretty girls.
Q: That's one of those benefits.,"A: Yeah. So, here -- here were, let's see, girls -- uh-huh, Russian grab Poland."
"Q: Tell me how, what happened?",A: What -- how? You put a million soldiers in [indecipherable] you are in[indecipherable] Polish compared to Russia. Are you si-- are you laughing?
"Q: Well, it's -- it's not a laugh that's funny.","A: It's nothing funny.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.19Interview with Joseph BachDecember 12, 2015"
Q: Yeah.,"A: They are nothing compared to Russia, Poland compared to Russia. So[indecipherable] grab it all, Poland right away."
"Q: No, but I'm confused now. Tell me -- you said the Germans were grabbing",A: No.
Q: Okay.,A: German started building up.
Q: Okay.,A: And staying -- staying on the line some [indecipherable]
Q: Okay.,A: And the Russian moved in.
Q: And which -- which army took over Lvov?,A: Lvov took am -- Russia
Q: Do you --,A: [indecipherable]
"Q: Okay, so that was part of the Russian territory.","A: Right.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.20Interview with Joseph BachDecember 12, 2015"
"Q: Do you know why it was that they took one part, and the Germans took another","A: They -- they -- go talk to guy, I will get -- ask him, why you taking this?"
"Q: You're absolutely right, I don't think anybody goes up to them and says, why","A: Shake hand, take this. Wonderful, you know --"
Q: Yeah.,A: -- that's so wonderful.
Q: Do you remember seeing the Russian soldiers coming in? Do you remember,A: I saw it.
Q: Tell me what you saw.,"A: I saw Russian soldiers, what I saw."
Q: How did they look?,A: Huh?
"Q: How did they look? Did they look like they were modernly dressed, with modern","A: They were very well dressed, and they were well having this, you know. Theyprepared themselves for war with Germany. This is it.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.(tm)Interview with Joseph BachDecember 12, 2015"
Q: Ho-How did they behave with people in Lvov?,"A: Depends. If it's girls, different. Grown-up -- grown-up girls, different. And theywere very, very sharp. They don't trust no one."
Q: They didn't trust anybody?,A: No. They were right. But -- Polish don't like Russia. And suddenly I was caught.
Q: Yeah? By whom?,"A: By some inspector, I don't know how you call it. And they ask me, did you[indecipherable] Metro Goldwyn Mayer? No, my -- I wasn't at Metro GoldwynMayer. Another one, I forgot. So I think yes."
Q: So they asked you if you had worked at these places? At Metro Golden Mayer?,"A: Yeah, yeah."
Q: And you said you did.,A: Yeah. What I [indecipherable] what I have to hide?
Q: Yeah.,"A: Yeah, so he telled, you are an American spy. I almost fall from the chair. Tellme, why you think this way. Because American, and their working people used touse for political stuff. I do --"
Q: Had you ever met an American?,"A: No. No [indecipherable] agent for, they came from -- from America about themovies. | told that he is crazy, or that I am crazy. Somehow you -- he told to me,you may go home. I went home."
Q: Okay.,"A: The same night came a agent with a -- with a-- some gendarme, some kind. Hetell me, you are American spy. My father got red like - Mommy almost fainted."
Q: Yeah.,"A: And I was looking [indecipherable] crazy. But up there is no crazy. When hetells, you are."
Q: Doesn't matter if that's not the truth.,"A: No, forget the baloney talking [indecipherable] he told you --"
"Q: Truth. Yeah, okay.","A: -- that's all. And he's right, not you. So I moved --- my mommy almost fainted[indecipherable] can't imagine. So I work -- I went with the guy. Four hundredpeople."
Q: What -- who were these people?,"A: Very nice people. A rabbi was up there too, and was very nice people, director[indecipherable] directors [indecipherable] the higher of the richer class, how doyou want.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.23Interview with Joseph BachDecember 12, 2015"
"Q: Okay. So in Soviet terms, it could be class enemies.",A: Yeah. So right away march north.
Q: By foot.,A: By foot.
Q: Okay.,A: We went to the place where the oldest -- what -- what you use?
Q: For what?,A: For -- for travel.
Q: Trains?,"A: Trains, ah, there were trains. Loading trains."
"Q: What kind of gr -- what kind of trains, were they passenger trains?","A: Who cares? Some buses, or some not, it's a transportation, that's all."
Q: Okay.,"A: You got the piece of bread and davay payoma(ph), and we started going north."
"Q: So tell me, what does davay and payejom(ph) mean?",A: What?
Q: What do davay and payejom(ph) mean?,A: Let's go.
Q: Okay. Okay. Those are Russian words.,A: Right.
Q: Okay.,"A: And we went up there, maybe three days, four days."
Q: By train.,"A: By train, right."
Q: Okay.,A: Later we took a little by cars.
"Q: Where in the car -- in the train that you were in, were there whole families in","A: No, no fam -- no families, only men."
Q: Only men.,A: No~no families.
Q: Okay.,"A: Yeah. And we went around 3,000 miles."
Q: That's a lot.,"A: A lot, it's not a lot, depends how you look. It's very cold up there, and it's --"
"Q: Did anyone tell you where you were going, or why you were going?","A: Don't be funny. Tell me. Who I am, I am nothing. Tell me. I live -- they give youfood a little. You have where to sleep, that's all.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.25Interview with Joseph BachDecember 12, 2015"
Q: Did you have someplace to sleep in that cattle car -- in that -- in that train? Do,"A: Yes, yes."
Q: Yes?,A: You lay on the floor and you sleep.
Q: Okay.,"A: So. That's a-- such a naive. So --so we --I were up there, I got up there, it's verycold in this [indecipherable]"
Q: Okay.,A: And I was three years up there.
"Q: Where were you, where did they bring you?",A: They have such a big -- I don't know how to call it. Big. There were -- peoplewere sleeping by hundreds.
"Q: Was it like a labor camp, or work camp?","A: A work camp, I don't know --"
Q: It was a work camp.,"A: Work camp, right."
Q: Now the Russian word could be gulag. Was it a gulag?,"A: It was a gulag, too.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.76Interview with Joseph BachDecember 12, 2015"
Q: Okay.,"A: So, up there I was three years. Later they starting letting out slow, people."
Q: But let me -- I want to stay with these three years. So they | -- they bring you to,"A: Well, what do you think of -- you do?"
Q: Okay.,A: They were -- they -- I will ask you what you do. Oh boy. So they -- after threeyears they let you slowly out --
"Q: But -- Matthew, I'm -- I need -- I'd like to -- I'd really like to find out what","A: They gave me work in the -- something, repairing something, building something. What's the point? You're only tool, you know, you're not j -- M: How -- how many were -- were there -- how many people were there with you?"
"Q: But -- Matthew, I'm -- I need -- I'd like to -- I'd really like to find out what","A: Three thousand, two thousand."
Q: Were they all from Poland?,"A: Most of them. But it's funny thing, a lot of Jews."
Q: A lot of Jews?,"A: Right. And I was there -- there final, this is the -- slowly they started letting out.You understand, there are sit -- 3,000, you're exhausted, and there's nothing morethey want to do, so slowly there that you're old. You still are -- are alive. You stillare alive. Your first thing, go home, right? So you schlepping home through Asia."
Q: Through Asia.,"A: Yeah. So getting [indecipherable] and after different performances, you arehome."
Q: Okay.,"A: They have music. La-Laborer, so you're only part of labor. What your --"
Q: Did a lot of people die there?,A: Enough.
Q: Enough. And what did they usually die of?,"A: I don't know, they get different sickening [indecipherable] infection and this,that."
Q: Were you hungry while you were there?,A: You were once in any labor?
Q: Never.,"A: So there hunger -- a guy who works by hand is always hungry. But this is notimportant, they don't kill you. You're hungry, so -- I will tell you why I am tellingyou this."
Q: Tell me.,"A: So I came back home after big, big ba-bom-ba-boom, I'm home. Now is[indecipherable] came to my house. Janitor [indecipherable] house, mister, yourwhole wife is killed, o-or -- all the people of your family is killed. Which mean[indecipherable] they came here, and they killed them. Why? They're Jews. Theydon't like Jews. I was [indecipherable] when I heard the news, I didn't know whatto do. Go to my brother house, they're all killed, even the small kid who was two --two years, are killed. So I was looking. I did make a better bargain than there.Nobody's killing me out there. I didn't eat so much, I can survive. But here wasmurder."
Q: Yeah.,A: Iwas -- my wife -- my wife -- my mother.
Q: You were married by then?,"A: No, my mother, I-- you know mother, your mother.M: Yeah, he means his mother."
"Q: He means his mother. Q: Okay, okay.",A: So -- so --so I went to my mother. My mother --
Q: Yeah.,A: -- was suicide.
Q: Oh dear.,"A: So she has a very good friend, Polish woman. She came to me, Joe, I will tellyou why your mother suicide."
Q: Okay.,"A: Why. They have it a big public houses. The soldier can go and have sex howmany times he wants. So this kind of women are dying very fast. So your mother[indecipherable] suicide. This was -- that was the end of the story. Coming down --and then I went right away to Polish army, and I was in Polish army three years."
"Q: So can you explain to me, because there were many Polish armies. There was the","A: You talk about he -- historics, you don't take about this now. You talk about whoit was once. And here is -- was not Polish army. Was one Polish army under thedirection English, you know.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.30Interview with Joseph BachDecember 12, 2015"
"Q: Oh yeah, that was General Anders army. Under the English direction was",A: You talk about different sha -- time.
Q: Okay.,A: So-- so -- and --
Q: You joined.,"A: --I went. For three years I was in army, and was in Berlin, and they tell megoodbye Charlie, go home. So I went home. I went to Polish movies. Atmospherewas stinking. You couldn't go around. I didn't feel like natural. I see like the eyesare different, it is look at me like -- like a something what I sha -- what I shouldn'tbe in Poland."
Q: Cause you were Jewish?,A: Yeah.
Q: Okay.,"A: Because I don't belong here. I'm a -- I'm -- Germans -- German so long, that theyimpressed the Polish, Jewish are this, are that, are something, not -- so it wasn't that--so you -- suddenly you see lots of Jewish in America. Simply they run away, was--1s no place to live."
Q: Yeah.,A: So---
Q: Where did you go?,"A: When did I go? I was in -- no, I was in the army."
Q: You were in ar -- tell me about army.,A: Yeah.
Q: Tell me about those three years in the army.,A: [indecipherable] what you doing in the army.
Q: Where were you fighting?,"A: Oh, straight from ac -- the line of the Lvov, straight to Berlin."
"Q: So, through Poland.","A: Sure. I wa -- what else to be? Okay, c'est la vie, this is it."
Q: Wa -- were you a soldier? What was your job in the army?,A: Killing.
"Q: Yes, of course. But --","A: So it's nothing pleasant and nothing nice. I was a deadly enemy of German,that's all. And it was -- means nothing to talk, should he give in, should she give up,I don't care. I'm getting the dessert. So the [indecipherable] the war, you shouldknow. So [indecipherable] later, I started what I started. I don't unders -- I -- I wentto Polish film, was not a friend [indecipherable] The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.32Interview with Joseph BachDecember 12, 2015"
Q: Then what did you do?,"A: But going to Polish film, I looked up the film. I go look it up. I saw a coupleJews who [indecipherable] Christian and they're living up there."
"Q: Ah, they were passing as Christians?",A: Yeah.
Q: Okay. Was this back in Lvov?,A: Yeah.
Q: Okay.,"A: Later I--I push [indecipherable] it was the other name, I forgot. So this[indecipherable] and then [indecipherable] one place where people who wants togo and for a doctor, come together. They put their name, and this guy decidedwhere you will go. You can go -- you -- they send you to America, they send you toChile. They send you where you want, where you don't want."
"Q: Were you still in Poland when you were -- you know, when you started to make",A: What I was?
"Q: Were you still in Lvov, had you already moved out of Lvov? Where were you","A: I was not in Lvov, it was a different, other country. What's the difference?The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.=Interview with Joseph BachDecember 12, 2015"
Q: Was it Austria?,"A: I-- yeah, I decided to move out from Poland. I didn't like this. Most men don'tdo me any favors [indecipherable]. So I went and I talk [indecipherable] Poland,th-they [indecipherable] to Asia, heck knows, they go in [indecipherable] So I[indecipherable] right, and it sounds a little bit English, so I thought, let's see thisway. When I say this way -- women like to attach to the man. They feel securerlater, more -- a young woman by itself is in less -- less dangerous situation, evenfrom Jews, you understand? So they like to attach to a man to defend her."
Q: It's safer.,A: Defend her.
Q: Yeah.,"A: So [ attach. I attach not to one, I attach to three Jews, yeah. They attach -- theyattaches -- attached to me. They were very friendly then, and two were very prettygirl. So I say, you know what, I will come there a lot. Let's do [indecipherable]make a business. I married. Was very nice wedding."
Q: Yeah?,A: I didn't have a penny but the wedding was beautiful.
Q: Really?,"A: Really.The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.34Interview with Joseph BachDecember 12, 2015"
Q: What was your wife's name?,A: She is here.
"Q: I know, but tell me, what was name when you met her.",A: Same still as what is there.
Q: Okay. Where did you meet her?,"A: On the street. Where I have to meet a woman? Where I meet her? I meet her, hermother and her sister in ge --"
Q: In what country?,A: In Poland.
"Q: Oh, you met her in Poland?",A: Yeah.
Q: Okay.,A: So we decided I am the partner familias(ph) and I am taking over the gang.
Q: Okay.,"A: And [indecipherable] was very as -- attractive, very, very friendly, and hermother tell me, what do you look for a rock, you have a diamond here. And Imarried the diamond."
Q: You married the diamond.,"A: Yeah. I --I didn't see the diamonds, but [indecipherable]. So, and we went anddiscover America."
Q: Together.,"A: Say la -- yeah, e'est la vie."
"Q: Well, tell me, from what country did you leave for America?",A: Poland.
"Q: Oh really? Q: Was it from Austria, or from Poland?","A: No, no, no, no, no, no. We are from Poland."
Q: Yes.,"A: But we have to go through Austria. You understand, because this is justconnect. Okay, who cares?"
Q: A lot of people care.,A: We just go to America.
Q: Okay.,"A: And now you have the whole story like -- no charge, let's go something to eat[indecipherable] The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.The interview is part of the United States Holocaust Memorial Museum's collection of oral testimonies. Information about access and usage rights can be found in the catalog record.36Interview with Joseph BachDecember 12, 2015"
"Q: You know, I have one more question to ask you, and that is, when you got to","A: No, no, I--no MGM."
Q: No MGM?,A: No MGM.
Q: How did you support your family here?,A: You work.
"Q: What did you do, what kind of work?","A: Wait, I have to remember, I don't remember what I do. I worked for somebody, Idon't know, I don't remember."
Q: Okay.,"A: For somebody here, for a while. M: You were at a store."
Q: Okay.,"A: Later, this is the business. Later, no, you want -- she wants to know beginning. Iwork for somebody, I don't remember, so --"
Q: Okay.,A: So-
"Q: Well, that's the short version. That's a fascinating version, you know, of what",A: It's enough. M: Do you want to tell us more a-after --
"Q: Well, that's the short version. That's a fascinating version, you know, of what","A: No, I don't want to tell us more, my wife will kill me."
"Q: No, she won't. Q: She wants you to tell us.",A: And you believe it?
Q: Yes.,A: You're naive.
Q: Probably. That's why I want to talk to you so you would tell me the truth.,"A: Yeah, I want to tell you, smart people don't take the truth."
"Q: Oh, they don't, huh?","A: What is to do? It's gone, poof. Don't -- don't -- who needs to repeat the business?"
Q: Did you ever tell your kids about any of this?,A: No.
Q: Why not?,"A: I [indecipherable] that life should be so low, and so degrading. Let them thinkthat life is good, and they will be big, and they are. And my grandson who has a bigmouth is up there. Oh, you hear him? He's very bright, talented --"
"Q: Yes, he is.",A: -- and successful man.
"Q: Yes, yes.","A: Yeah. So I don't complain. Everybody said my wife is where she belongs, inbed, and you live until you die, it's -- it's gone [indecipherable] it's gone. Don'trepeat it, don't cry. Baby don't cry, it's nothing to cry. Is gone. Yeah, it was notvery pleasant to be kicked around, this was not pleasant. But you went it through.It's -- sitting in a place, you try to make a nice living, with nice family. They arevery nice, my family is very nice. Can't complain. Very nice grandchildren. I can't[indecipherable]. They live quite nice, they settle down. So my life is gone. Still alittle bit, and goodbye Charlie. What else?"
Q: Oh my.,"A: Not my, all what else?"
Q: What else? [technical discussion],"A: Before war, or after war?"
"Q: During war, when you were there. When you were there and they let you -- The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.","A: Remember, I was a slave, what do you think it was [indecipherable]. I don'thave any life. Are you crazy, or what? And I are a slave."
Q: And --,"A: Especial [indecipherable] army, they didn't like Polish like hell."
Q: Yeah.,A: Polish and the Russian hate each other. And Jews in between.
"Q: So when you say you were a slave, did that mean that every single day, you were","A: No, no."
Q: No.,"A: I [indecipherable] a slave physically, you work, that's all."
"Q: Okay. When you -- when they released you, you know, th -- you say you were in",A: Yeah.
"Q: And do you remember the place that it was, what the name of it was?","A: Ah, who cares."
Q: Okay.,"A: Go away, so."
"Q: Was it in Siberia, was it in the Taiga , or was it -- The following transcript is the result of a recorded interview. The recording is the primary source document, not this transcript. It has not been checked for spelling nor verified for accuracy. This document should not be quoted or used without first checking it against the interview.","A: No [indecipherable] Siberia, but I went to Asia, real short traverse to Asia."
